"OrphaCode"|"AverageAgeOfOnset"|"AverageAgeOfDeath"|"InheritanceTypes"
1406|"Neonatal"|"No data available"|"Not applicable"
168588|""|""|"Autosomal dominant, Autosomal recessive"
168601|"Infancy, Neonatal"|""|"Autosomal recessive"
1414|"Infancy, Neonatal"|""|"Autosomal recessive"
168598|"Infancy"|"No data available"|"Autosomal recessive"
168606|"Childhood"|""|"Autosomal dominant"
168549|"Childhood, Infancy"|"No data available"|"Autosomal recessive"
168552|"Infancy"|"No data available"|"Autosomal recessive"
1154|"Neonatal"|"normal life expectancy"|"Autosomal dominant, Autosomal recessive"
168555|"Infancy"|"No data available"|"Autosomal recessive"
168558|"Infancy, Neonatal"|"infantile"|"Autosomal dominant, Autosomal recessive"
168563|"Infancy, Neonatal"|""|"Autosomal recessive"
124|"Childhood, Infancy, Neonatal"|"any age"|"Autosomal dominant"
168566|"Infancy, Neonatal"|"early childhood"|"Autosomal recessive"
1310|"Antenatal, Childhood, Infancy, Neonatal"|""|"Autosomal dominant, Unknown"
168569|"Childhood"|"any age"|"Autosomal recessive"
168572|"Infancy, Neonatal"|""|"Autosomal recessive"
125|"Antenatal, Neonatal"|"adult"|"Autosomal recessive"
90|"Childhood, Infancy"|""|"Autosomal recessive"
168443|"Infancy, Neonatal"|"No data available"|""
1065|"Infancy, Neonatal"|"No data available"|"Autosomal dominant, Autosomal recessive, Not applicable"
168451|"Infancy"|"No data available"|""
1135|"Antenatal, Neonatal"|"No data available"|"Unknown"
168454|"Infancy"|"No data available"|"Autosomal recessive"
1146|"Antenatal, Neonatal"|"normal life expectancy"|"Autosomal dominant"
1143|"Neonatal"|""|"Autosomal recessive"
168486|"Infancy, Neonatal"|"early childhood"|"Autosomal recessive"
168491|"Childhood"|"adolescent, late childhood"|"Autosomal recessive"
168544|"No data available"|"No data available"|"X-linked recessive"
1147|"Neonatal"|"normal life expectancy"|"Autosomal dominant, Not applicable"
246|"Antenatal, Neonatal"|"embryofetal, stillbirth"|"Autosomal recessive"
1770|"Neonatal"|"No data available"|"Autosomal recessive"
1775|"Adolescent, Adult, Childhood, Infancy, Neonatal"|"adolescent, adult, early childhood, infantile, late childhood, young Adult"|"Autosomal dominant, Autosomal recessive, X-linked recessive"
1764|"Childhood, Infancy, Neonatal"|"adolescent, adult, early childhood, late childhood, young Adult"|"Autosomal recessive"
235|"Antenatal, Neonatal"|""|"Autosomal recessive"
239|"Infancy"|"No data available"|"Autosomal recessive"
1672|"Adolescent, Adult, Childhood, Infancy"|"adolescent, early childhood, late childhood, young Adult"|"Not applicable"
833|"Antenatal, Infancy, Neonatal"|"early childhood"|"Autosomal recessive"
167635|"Adult"|""|""
765|"Childhood, Infancy, Neonatal"|"adolescent, late childhood"|"Autosomal recessive, Not applicable, X-linked dominant"
395|"Infancy, Neonatal"|""|"Autosomal recessive"
408|"All ages"|""|"X-linked recessive"
148|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
147|"All ages"|"any age"|"Autosomal recessive"
23|"All ages"|"any age"|"Autosomal recessive"
45|"All ages"|""|"Autosomal recessive"
226|"Infancy, Neonatal"|"any age"|"Autosomal recessive"
217|"Antenatal, Neonatal"|""|"Multigenic/multifactorial"
1556|"Neonatal"|"normal life expectancy"|"Not applicable"
1538|"Infancy"|"No data available"|"Autosomal dominant"
1496|"Antenatal, Neonatal"|""|"Autosomal recessive"
417|"Neonatal"|"early childhood"|"Autosomal recessive, Not applicable"
2233|"Infancy"|"No data available"|"Unknown"
2248|"Antenatal, Neonatal"|"infantile"|"Unknown"
446|"Neonatal"|""|"Autosomal recessive"
2135|"Infancy, Neonatal"|"late childhood"|"Autosomal recessive"
2140|"Neonatal"|"early childhood"|"Multigenic/multifactorial, Not applicable"
2185|"Antenatal"|""|"Not applicable"
2116|"All ages"|"normal life expectancy"|"Autosomal recessive"
2118|"Infancy, Neonatal"|"No data available"|"Autosomal dominant"
351|"All ages"|""|"Autosomal recessive"
2020|"Infancy, Neonatal"|"early childhood, infantile"|"Autosomal dominant, Autosomal recessive, X-linked recessive"
2053|"Neonatal"|""|"Autosomal dominant, Autosomal recessive"
295|"Antenatal, Neonatal"|""|"Not applicable"
1933|"Infancy"|"adolescent, late childhood"|"Mitochondrial inheritance"
1880|"All ages"|"any age"|"Autosomal dominant, Not applicable"
255|"Childhood"|""|"Autosomal dominant, Autosomal recessive, Not applicable"
1915|"Antenatal, Neonatal"|"any age"|"Not applicable"
1885|"All ages"|"normal life expectancy"|"Autosomal dominant, Autosomal recessive"
1851|""|""|"Not applicable"
660|"Antenatal"|"normal life expectancy"|"Not applicable"
635|"Childhood"|"adolescent, late childhood"|"Not applicable"
2612|"Childhood, Infancy, Neonatal"|"any age"|"Not applicable"
2635|"Antenatal, Neonatal"|"any age"|"Autosomal dominant, Not applicable"
2655|"Antenatal, Neonatal"|"early childhood"|"Autosomal dominant, Not applicable"
606|"Adolescent, Adult, Elderly"|"elderly, normal life expectancy"|"Autosomal dominant"
705|"Infancy, Neonatal"|"normal life expectancy"|"Autosomal recessive"
2801|"Childhood"|"normal life expectancy"|"Autosomal recessive"
884|"Antenatal, Neonatal"|"early childhood"|"Not applicable, Unknown"
2785|"Infancy, Neonatal"|""|"Autosomal recessive"
2744|"Adolescent, Childhood"|"No data available"|""
2746|"Neonatal"|""|"Autosomal recessive"
2971|"Neonatal"|"adolescent, late childhood"|"Autosomal recessive"
2970|"Antenatal, Neonatal"|"adult, elderly, young Adult"|"Autosomal dominant, Not applicable, X-linked recessive"
744|"Infancy"|"any age"|"Not applicable"
2903|"Adolescent, Adult"|""|"Autosomal dominant"
2901|"Adult"|"normal life expectancy"|"Autosomal dominant, Not applicable"
718|"Antenatal, Neonatal"|"normal life expectancy"|"Autosomal dominant, Multigenic/multifactorial, Not applicable, Unknown"
290|"Antenatal, Neonatal"|"embryofetal, infantile, stillbirth"|"Not applicable"
3071|"Antenatal, Neonatal"|""|"Autosomal dominant, Not applicable"
763|"Adolescent, Adult, Childhood, Infancy"|"normal life expectancy"|"Autosomal recessive"
2983|"Neonatal"|"No data available"|"Unknown"
