"OrphaCode"|"Name"|"Group"|"Type"|"OMIM"
166302|"Benign partial epilepsy with secondarily generalized seizures in infancy"|"Disorder"|"Disease"|
166299|"Benign partial epilepsy of infancy with complex partial seizures"|"Disorder"|"Disease"|
796|"Sandhoff disease"|"Disorder"|"Disease"|268800
166409|"Photosensitive epilepsy"|"Disorder"|"Disease"|609573
801|"Scleroderma"|"Group of disorders"|"Clinical group"|
166311|"Benign partial infantile seizures"|"Group of disorders"|"Clinical group"|
461|"Recessive X-linked ichthyosis"|"Disorder"|"Disease"|308100
166421|"Orgasm-induced seizures"|"Disorder"|"Disease"|
166418|"Eating reflex epilepsy"|"Disorder"|"Disease"|
166415|"Audiogenic seizures"|"Disorder"|"Disease"|
584|"Mucopolysaccharidosis type 7"|"Disorder"|"Disease"|253220
166412|"Hot water reflex epilepsy"|"Disorder"|"Disease"|613340
166433|"Reading seizures"|"Disorder"|"Disease"|132300
166430|"Micturation-induced seizures"|"Disorder"|"Disease"|
881|"Turner syndrome"|"Disorder"|"Malformation syndrome"|
166427|"Startle epilepsy"|"Disorder"|"Disease"|
166424|"Thinking seizures"|"Disorder"|"Disease"|
95|"Friedreich ataxia"|"Disorder"|"Disease"|601992
166466|"Neurocutaneous syndrome with epilepsy"|"Group of disorders"|"Category"|
848|"Beta-thalassemia"|"Disorder"|"Disease"|603902
166469|"Chromosomal anomaly with epilepsy as a major feature"|"Group of disorders"|"Category"|
846|"Alpha-thalassemia"|"Disorder"|"Disease"|604131
586|"Cystic fibrosis"|"Disorder"|"Disease"|219700
166463|"Epilepsy syndrome"|"Group of disorders"|"Category"|
262|"Duchenne and Becker muscular dystrophy"|"Group of disorders"|"Clinical group"|
166478|"Cerebral malformation with epilepsy"|"Group of disorders"|"Category"|
166481|"Metabolic diseases with epilepsy"|"Group of disorders"|"Category"|
166472|"Monogenic disease with epilepsy"|"Group of disorders"|"Category"|
166475|"Idiopathic or cryptogenic familial epilepsy syndrome with identified loci/genes"|"Group of disorders"|"Category"|
261|"Emery-Dreifuss muscular dystrophy"|"Disorder"|"Disease"|612999
166490|"Infectious disease with epilepsy"|"Group of disorders"|"Category"|
166484|"Inflammatory and autoimmune disease with epilepsy"|"Group of disorders"|"Category"|
166487|"Cerebral diseases of vascular origin with epilepsy"|"Group of disorders"|"Category"|
550|"MELAS"|"Disorder"|"Disease"|540000
269|"Facioscapulohumeral dystrophy"|"Disorder"|"Disease"|600416
480|"Kearns-Sayre syndrome"|"Disorder"|"Disease"|530000
593|"Myofibrillar myopathy"|"Group of disorders"|"Category"|
551|"MERRF"|"Disorder"|"Disease"|545000
597|"Central core disease"|"Disorder"|"Disease"|117000
607|"Nemaline myopathy"|"Group of disorders"|"Clinical group"|
163746|"Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease"|"Disorder"|"Disease"|609136
684|"Paramyotonia congenita of Von Eulenburg"|"Disorder"|"Disease"|168300
163931|"Acrodermatitis continua of Hallopeau"|"Disorder"|"Disease"|
273|"Steinert myotonic dystrophy"|"Disorder"|"Disease"|160900
163927|"Pustulosis palmaris et plantaris"|"Disorder"|"Disease"|
163937|"X-linked intellectual disability, Najm type"|"Disorder"|"Disease"|300749
163934|"Atopic keratoconjunctivitis"|"Disorder"|"Disease"|
614|"Thomsen and Becker disease"|"Disorder"|"Disease"|255700
163921|"Posttransplant acute limbic encephalitis"|"Disorder"|"Particular clinical situation in a disease or syndrome"|
163966|"X-linked dominant chondrodysplasia, Chassaing-Lacombe type"|"Disorder"|"Disease"|300863
163971|"X-linked intellectual disability, Cilliers type"|"Disorder"|"Disease"|
163976|"X-linked intellectual disability, Van Esch type"|"Disorder"|"Malformation syndrome"|301030
163979|"X-linked intellectual disability-craniofacioskeletal syndrome"|"Disorder"|"Disease"|300712
163956|"X-linked intellectual disability, Nascimento type"|"Disorder"|"Disease"|300860
163961|"X-linked cerebral-cerebellar-coloboma syndrome"|"Disorder"|"Disease"|300864
164004|"Middle ear anomaly"|"Group of disorders"|"Category"|
164726|"Acute myeloid leukemia and myelodysplastic syndromes related to radiation"|"Disorder"|"Disease"|
324|"Fabry disease"|"Disorder"|"Disease"|301500
163985|"Hyperekplexia-epilepsy syndrome"|"Disorder"|"Disease"|300607
778|"Rett syndrome"|"Disorder"|"Disease"|312750
164001|"Rare odontal or periodontal disorder"|"Group of disorders"|"Category"|
72|"Angelman syndrome"|"Disorder"|"Malformation syndrome"|105830
165661|"Genetic pancreatic disease"|"Group of disorders"|"Category"|
307|"Juvenile myoclonic epilepsy"|"Disorder"|"Disease"|617924
165658|"Genetic gastro-esophageal disease"|"Group of disorders"|"Category"|
165655|"Genetic intestinal disease"|"Group of disorders"|"Category"|
165652|"Rare genetic gastroenterological disease"|"Group of disorders"|"Category"|
1941|"Juvenile absence epilepsy"|"Disorder"|"Disease"|607631
892|"Von Hippel-Lindau disease"|"Disorder"|"Disease"|193300
164823|"Rare acquired aplastic anemia"|"Group of disorders"|"Category"|
731|"Autosomal recessive polycystic kidney disease"|"Disorder"|"Disease"|617610
164736|"Familial advanced sleep-phase syndrome"|"Disorder"|"Disease"|615224
138|"CHARGE syndrome"|"Disorder"|"Malformation syndrome"|214800
558|"Marfan syndrome"|"Disorder"|"Disease"|154700
165805|"Familial mesial temporal lobe epilepsy with febrile seizures"|"Disorder"|"Disease"|614418
803|"Amyotrophic lateral sclerosis"|"Disorder"|"Disease"|619141
165711|"Rare abdominal surgical disease"|"Group of disorders"|"Category"|
165707|"Syndromic urogenital tract malformation"|"Group of disorders"|"Category"|
100|"Ataxia-telangiectasia"|"Disorder"|"Disease"|208910
165704|"Non-syndromic urogenital tract malformation"|"Group of disorders"|"Category"|
733|"Familial adenomatous polyposis"|"Disorder"|"Disease"|175100
399|"Huntington disease"|"Disorder"|"Disease"|143100
165955|"Wound myiasis"|"Disorder"|"Disease"|
501|"Lafora disease"|"Disorder"|"Disease"|254780
870|"Down syndrome"|"Disorder"|"Malformation syndrome"|190685
165958|"Cavitary myiasis"|"Disorder"|"Disease"|
512|"Metachromatic leukodystrophy"|"Disorder"|"Disease"|250100
166011|"Multiple epiphyseal dysplasia, Beighton type"|"Disorder"|"Disease"|132450
567|"22q11.2 deletion syndrome"|"Disorder"|"Malformation syndrome"|192430
166016|"Multiple epiphyseal dysplasia, Lowry type"|"Disorder"|"Disease"|601560
232|"Sickle cell anemia"|"Disorder"|"Disease"|603903
536|"Systemic lupus erythematosus"|"Disorder"|"Disease"|
166002|"Multiple epiphyseal dysplasia due to collagen 9 anomaly"|"Disorder"|"Disease"|614135
534|"Oculocerebrorenal syndrome of Lowe"|"Disorder"|"Malformation syndrome"|309000
165988|"Diazoxide-resistant diffuse hyperinsulinism"|"Group of disorders"|"Clinical group"|
790|"Retinoblastoma"|"Disorder"|"Disease"|180200
165991|"Exercise-induced hyperinsulinism"|"Disorder"|"Disease"|610021
652|"Multiple endocrine neoplasia type 1"|"Disorder"|"Disease"|131100
165985|"Diazoxide-sensitive diffuse hyperinsulinism"|"Group of disorders"|"Clinical group"|
908|"Fragile X syndrome"|"Disorder"|"Malformation syndrome"|311360
3099|"Rheumatic fever"|"Disorder"|"Disease"|268240
739|"Prader-Willi syndrome"|"Disorder"|"Disease"|615547
47|"X-linked agammaglobulinemia"|"Subtype of disorder"|"Clinical subtype"|300755
580|"Mucopolysaccharidosis type 2"|"Disorder"|"Disease"|309900
579|"Mucopolysaccharidosis type 1"|"Disorder"|"Disease"|607016
905|"Wilson disease"|"Disorder"|"Disease"|277900
163209|"Non-syndromic cerebral malformation due to abnormal neuronal migration"|"Group of disorders"|"Category"|
792|"X-linked retinoschisis"|"Disorder"|"Malformation syndrome"|312700
163525|"Subacute cutaneous lupus erythematosus"|"Disorder"|"Disease"|
827|"Stargardt disease"|"Disorder"|"Disease"|603786
163582|"Rare bacterial infectious disease"|"Group of disorders"|"Category"|
163531|"Chronic cutaneous lupus erythematosus"|"Group of disorders"|"Clinical group"|
906|"Wiskott-Aldrich syndrome"|"Disorder"|"Disease"|614493
904|"Williams syndrome"|"Disorder"|"Malformation syndrome"|194050
280|"Wolf-Hirschhorn syndrome"|"Disorder"|"Malformation syndrome"|194190
162516|"Isolated congenital nasal pyriform aperture stenosis"|"Disorder"|"Malformation syndrome"|
15|"Achondroplasia"|"Disorder"|"Disease"|100800
96|"Ataxia with vitamin E deficiency"|"Disorder"|"Disease"|277460
162526|"Isolated congenital auditory ossicle malformation"|"Disorder"|"Morphological anomaly"|
101|"Dentatorubral pallidoluysian atrophy"|"Disorder"|"Disease"|125370
783|"Rubinstein-Taybi syndrome"|"Disorder"|"Malformation syndrome"|613684
163649|"Spondyloepiphyseal dysplasia-craniosynostosis-cleft palate-cataracts-intellectual disability syndrome"|"Disorder"|"Disease"|602611
631|"Non-acquired isolated growth hormone deficiency"|"Disorder"|"Disease"|612781
276|"T-B+ severe combined immunodeficiency due to gamma chain deficiency"|"Disorder"|"Disease"|300400
163654|"Spondyloepiphyseal dysplasia-brachydactyly-speech disorder syndrome"|"Disorder"|"Disease"|611717
481|"Kennedy disease"|"Disorder"|"Disease"|313200
664|"Ornithine transcarbamylase deficiency"|"Disorder"|"Disease"|311250
163668|"Spondyloepiphyseal dysplasia, MacDermot type"|"Disorder"|"Malformation syndrome"|184000
163662|"Spondyloepiphyseal dysplasia, Reardon type"|"Disorder"|"Disease"|600561
394|"Classic homocystinuria"|"Disorder"|"Disease"|236200
163665|"Spondyloepiphyseal dysplasia tarda, Kohn type"|"Disorder"|"Disease"|271620
508|"Leprechaunism"|"Disorder"|"Malformation syndrome"|246200
163591|"Rare mycosis"|"Group of disorders"|"Category"|
436|"Hypophosphatasia"|"Disorder"|"Disease"|241510
163596|"Hb Bart's hydrops fetalis"|"Subtype of disorder"|"Clinical subtype"|236750
163585|"Rare viral disease"|"Group of disorders"|"Category"|
429|"Hypochondroplasia"|"Disorder"|"Disease"|146000
163588|"Rare parasitic disease"|"Group of disorders"|"Category"|
437|"Hypophosphatemic rickets"|"Group of disorders"|"Clinical group"|
163637|"Rare disorder related with pregnancy, childbirth and puerperium"|"Group of disorders"|"Category"|
104|"Leber hereditary optic neuropathy"|"Disorder"|"Disease"|535000
163631|"Bile acid synthesis defect with cholestasis and malabsorption"|"Group of disorders"|"Category"|
2182|"Hydrocephalus with stenosis of the aqueduct of Sylvius"|"Subtype of disorder"|"Clinical subtype"|307000
163634|"Maffucci syndrome"|"Disorder"|"Disease"|614569
163717|"Benign familial mesial temporal lobe epilepsy"|"Disorder"|"Disease"|615697
163708|"Cryptogenic late-onset epileptic spasms"|"Disorder"|"Disease"|
636|"Neurofibromatosis type 1"|"Disorder"|"Disease"|613675
163703|"Febrile infection-related epilepsy syndrome"|"Disorder"|"Disease"|
649|"Norrie disease"|"Disorder"|"Malformation syndrome"|310600
163727|"Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome"|"Disorder"|"Disease"|608105
163721|"Rolandic epilepsy-speech dyspraxia syndrome"|"Disorder"|"Disease"|300643
163684|"Leukoencephalopathy-dystonia-motor neuropathy syndrome"|"Disorder"|"Disease"|613724
163681|"CNTNAP2-related developmental and epileptic encephalopathy"|"Disorder"|"Disease"|610042
379|"Chronic granulomatous disease"|"Disorder"|"Disease"|618935
16|"Blue cone monochromatism"|"Disorder"|"Disease"|303700
163699|"Alveolar soft tissue sarcoma"|"Disorder"|"Disease"|606243
644|"NARP syndrome"|"Disorder"|"Disease"|551500
637|"Neurofibromatosis type 2"|"Disorder"|"Disease"|101000
163696|"Action myoclonus-renal failure syndrome"|"Disorder"|"Disease"|254900
181|"X-linked hypohidrotic ectodermal dysplasia"|"Subtype of disorder"|"Etiological subtype"|305100
163693|"2p21 microdeletion syndrome"|"Disorder"|"Disease"|606407
163690|"Hypotonia-cystinuria syndrome"|"Disorder"|"Disease"|606407
337|"Fibrodysplasia ossificans progressiva"|"Disorder"|"Disease"|135100
377|"Gorlin syndrome"|"Disorder"|"Malformation syndrome"|109400
648|"Noonan syndrome"|"Disorder"|"Malformation syndrome"|616564
281|"Monosomy 5p"|"Disorder"|"Malformation syndrome"|123450
752|"46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency"|"Disorder"|"Disease"|264300
214|"Cystinuria"|"Disorder"|"Disease"|220100
510|"Lesch-Nyhan syndrome"|"Disorder"|"Disease"|308950
524|"Li-Fraumeni syndrome"|"Disorder"|"Disease"|609266
699|"Pearson syndrome"|"Disorder"|"Disease"|557000
640|"Hereditary neuropathy with liability to pressure palsies"|"Disorder"|"Malformation syndrome"|162500
60|"Alpha-1-antitrypsin deficiency"|"Disorder"|"Disease"|613490
895|"Waardenburg syndrome type 2"|"Subtype of disorder"|"Clinical subtype"|611584
896|"Waardenburg syndrome type 3"|"Subtype of disorder"|"Clinical subtype"|148820
857|"Townes-Brocks syndrome"|"Disorder"|"Malformation syndrome"|617466
894|"Waardenburg syndrome type 1"|"Subtype of disorder"|"Clinical subtype"|193500
682|"Hyperkalemic periodic paralysis"|"Disorder"|"Disease"|170500
800|"Schwartz-Jampel syndrome"|"Disorder"|"Disease"|255800
628|"Diastrophic dysplasia"|"Disorder"|"Disease"|222600
673|"Malaria"|"Disorder"|"Disease"|611162
681|"Hypokalemic periodic paralysis"|"Disorder"|"Disease"|613345
126|"Blepharophimosis-ptosis-epicanthus inversus syndrome"|"Disorder"|"Malformation syndrome"|110100
107|"BOR syndrome"|"Disorder"|"Malformation syndrome"|610896
774|"Hereditary hemorrhagic telangiectasia"|"Disorder"|"Disease"|187300
794|"Saethre-Chotzen syndrome"|"Disorder"|"Malformation syndrome"|101400
710|"Pfeiffer syndrome"|"Disorder"|"Malformation syndrome"|101600
2869|"Peutz-Jeghers syndrome"|"Disorder"|"Disease"|175200
893|"WAGR syndrome"|"Disorder"|"Malformation syndrome"|612469
912|"Zellweger syndrome"|"Disorder"|"Disease"|614887
50|"Aicardi syndrome"|"Disorder"|"Disease"|304050
53|"Albers-Schönberg osteopetrosis"|"Disorder"|"Malformation syndrome"|166600
14|"Abetalipoproteinemia"|"Disorder"|"Disease"|605019
52|"Alagille syndrome"|"Disorder"|"Malformation syndrome"|610205
167|"Chédiak-Higashi syndrome"|"Disorder"|"Disease"|214500
195|"Cat-eye syndrome"|"Disorder"|"Malformation syndrome"|115470
207|"Crouzon syndrome"|"Disorder"|"Malformation syndrome"|123500
205|"Crigler-Najjar syndrome"|"Disorder"|"Disease"|606785
160148|"Cap polyposis"|"Disorder"|"Disease"|
201|"Cowden syndrome"|"Disorder"|"Disease"|616858
192|"Coffin-Lowry syndrome"|"Disorder"|"Malformation syndrome"|303600
2442|"X-linked lymphoproliferative disease"|"Group of disorders"|"Clinical group"|308240
169808|"Mild hemophilia A"|"Subtype of disorder"|"Clinical subtype"|306700
169826|"Congenital vitamin K-dependent coagulation factors deficiency"|"Group of disorders"|"Category"|
169802|"Severe hemophilia A"|"Subtype of disorder"|"Clinical subtype"|306700
169805|"Moderate hemophilia A"|"Subtype of disorder"|"Clinical subtype"|306700
562|"McCune-Albright syndrome"|"Disorder"|"Disease"|174800
565|"Menkes disease"|"Disorder"|"Disease"|309400
2443|"Mitochondrial oxidative phosphorylation disorder due to nuclear DNA anomalies"|"Group of disorders"|"Category"|
474|"Jeune syndrome"|"Disorder"|"Malformation syndrome"|208500
540|"Familial hemophagocytic lymphohistiocytosis"|"Disorder"|"Disease"|618998
568|"Microphthalmia, Lenz type"|"Disorder"|"Malformation syndrome"|309800
564|"Meckel syndrome"|"Disorder"|"Malformation syndrome"|617562
289|"Ellis Van Creveld syndrome"|"Disorder"|"Malformation syndrome"|225500
258|"Laminin subunit alpha 2-related congenital muscular dystrophy"|"Disorder"|"Malformation syndrome"|607855
1247|"Schistosomiasis"|"Disorder"|"Disease"|181460
112|"Bartter syndrome"|"Disorder"|"Disease"|300971
169443|"Specific antibody deficiency with normal immunoglobulin concentrations and normal numbers of B cells"|"Group of disorders"|"Category"|
1646|"Partial chromosome Y deletion"|"Disorder"|"Malformation syndrome"|415000
169464|"Primary CD59 deficiency"|"Disorder"|"Disease"|612300
99|"Autosomal dominant cerebellar ataxia"|"Group of disorders"|"Category"|
116|"Beckwith-Wiedemann syndrome"|"Disorder"|"Malformation syndrome"|130650
87|"Apert syndrome"|"Disorder"|"Malformation syndrome"|101200
169618|"Secondary central precocious puberty"|"Subtype of disorder"|"Etiological subtype"|
169615|"Idiopathic central precocious puberty"|"Subtype of disorder"|"Etiological subtype"|
97|"Familial paroxysmal ataxia"|"Disorder"|"Disease"|108500
169467|"Recurrent Neisseria infections due to factor D deficiency"|"Disorder"|"Disease"|613912
313|"Lamellar ichthyosis"|"Disorder"|"Disease"|617571
169799|"Mild hemophilia B"|"Subtype of disorder"|"Clinical subtype"|306900
169796|"Moderate hemophilia B"|"Subtype of disorder"|"Clinical subtype"|306900
169793|"Severe hemophilia B"|"Subtype of disorder"|"Clinical subtype"|306900
171220|"Rectal duplication"|"Disorder"|"Morphological anomaly"|
1000|"Ocular albinism with late-onset sensorineural deafness"|"Disorder"|"Disease"|300650
999|"Ermine phenotype"|"Disorder"|"Malformation syndrome"|227010
171430|"Severe congenital nemaline myopathy"|"Disorder"|"Disease"|616165
171433|"Intermediate nemaline myopathy"|"Disorder"|"Disease"|161800
171436|"Typical nemaline myopathy"|"Disorder"|"Disease"|616165
171439|"Childhood-onset nemaline myopathy"|"Disorder"|"Disease"|617336
55|"Oculocutaneous albinism"|"Group of disorders"|"Clinical group"|
171442|"Adult-onset nemaline myopathy"|"Disorder"|"Disease"|
171445|"Muscle filaminopathy"|"Disorder"|"Disease"|609524
171607|"X-linked spastic paraplegia type 34"|"Disorder"|"Disease"|300750
2771|"Bruck syndrome"|"Disorder"|"Malformation syndrome"|609220
171612|"Autosomal dominant spastic paraplegia type 37"|"Disorder"|"Disease"|611945
171617|"Autosomal dominant spastic paraplegia type 38"|"Disorder"|"Disease"|612335
1349|"Mitochondrial DNA-related cardiomyopathy and hearing loss"|"Disorder"|"Malformation syndrome"|
171622|"Autosomal recessive spastic paraplegia type 32"|"Disorder"|"Disease"|611252
171629|"Autosomal recessive spastic paraplegia type 35"|"Disorder"|"Disease"|612319
861|"Treacher-Collins syndrome"|"Disorder"|"Malformation syndrome"|613717
308|"Progressive myoclonic epilepsy type 1"|"Disorder"|"Malformation syndrome"|612437
1991|"Cleft lip with or without cleft palate"|"Group of disorders"|"Clinical group"|
199|"Cornelia de Lange syndrome"|"Disorder"|"Malformation syndrome"|614701
2162|"Holoprosencephaly"|"Disorder"|"Malformation syndrome"|609408
930|"Idiopathic achalasia"|"Disorder"|"Disease"|200400
998|"Albinism-deafness syndrome"|"Disorder"|"Malformation syndrome"|300700
1727|"22q11.2 duplication syndrome"|"Disorder"|"Malformation syndrome"|608363
169079|"Cernunnos-XLF deficiency"|"Disorder"|"Disease"|611291
1716|"Distal trisomy 18q"|"Disorder"|"Malformation syndrome"|
1715|"Trisomy 18p"|"Disorder"|"Malformation syndrome"|
3380|"Trisomy 18"|"Disorder"|"Malformation syndrome"|
168984|"CLAPO syndrome"|"Disorder"|"Malformation syndrome"|613089
1707|"Distal trisomy 15q"|"Subtype of disorder"|"Etiological subtype"|
168999|"Malignant melanoma of the mucosa"|"Disorder"|"Disease"|
3378|"Trisomy 13"|"Disorder"|"Malformation syndrome"|
169110|"Immunoglobulin heavy chain deficiency"|"Disorder"|"Disease"|
169100|"Immunodeficiency due to CD25 deficiency"|"Disorder"|"Disease"|606367
169105|"Good syndrome"|"Disorder"|"Disease"|
169090|"Combined immunodeficiency due to CRAC channel dysfunction"|"Disorder"|"Disease"|612783
236|"Trisomy 9p"|"Disorder"|"Malformation syndrome"|
169095|"Severe combined immunodeficiency due to FOXN1 deficiency"|"Disorder"|"Disease"|601705
169082|"Combined immunodeficiency due to CD3gamma deficiency"|"Disorder"|"Disease"|615607
169085|"Susceptibility to respiratory infections associated with CD8alpha chain mutation"|"Disorder"|"Disease"|608957
168829|"Primary peritoneal carcinoma"|"Disorder"|"Disease"|
168816|"Peritoneal cystic mesothelioma"|"Disorder"|"Disease"|
753|"46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency"|"Disorder"|"Disease"|264600
868|"Triose phosphate-isomerase deficiency"|"Disorder"|"Disease"|615512
168811|"Malignant peritoneal mesothelioma"|"Disorder"|"Disease"|
168807|"Primary malignant peritoneal tumor"|"Group of disorders"|"Category"|
168803|"Primary peritoneal tumor"|"Group of disorders"|"Category"|
218|"Darier disease"|"Disorder"|"Disease"|124200
168796|"Heart-hand syndrome, Slovenian type"|"Disorder"|"Malformation syndrome"|610140
1465|"Coffin-Siris syndrome"|"Disorder"|"Malformation syndrome"|618362
168782|"Childhood disintegrative disorder"|"Disorder"|"Disease"|
1642|"Distal monosomy 9p"|"Disorder"|"Malformation syndrome"|
168966|"Composite lymphoma"|"Disorder"|"Disease"|
168960|"Refractory anemia with excess blasts in transformation"|"Disorder"|"Disease"|
8|"47,XYY syndrome"|"Disorder"|"Malformation syndrome"|
1636|"Distal monosomy 7q36"|"Disorder"|"Malformation syndrome"|
168956|"Hypereosinophilic syndrome"|"Group of disorders"|"Clinical group"|
168953|"Myeloid/lymphoid neoplasm associated with FGFR1 rearrangement"|"Disorder"|"Disease"|613523
1600|"Monosomy 18q"|"Disorder"|"Malformation syndrome"|601808
168950|"Myeloid/lymphoid neoplasm associated with PDGFRB rearrangement"|"Disorder"|"Disease"|
168947|"Myeloid/lymphoid neoplasm associated with PDGFRA rearrangement"|"Disorder"|"Disease"|
1598|"Monosomy 18p"|"Disorder"|"Disease"|146390
168943|"Myeloid/lymphoid neoplasms associated with eosinophilia and abnormality of PDGFRA, PDGFRB, FGFR1 or JAK2"|"Group of disorders"|"Category"|
168940|"Chronic eosinophilic leukemia"|"Disorder"|"Disease"|
2773|"Osteogenesis imperfecta-retinopathy-seizures-intellectual disability syndrome"|"Disorder"|"Malformation syndrome"|
2772|"Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome"|"Disorder"|"Malformation syndrome"|259410
2609|"Isolated complex I deficiency"|"Disorder"|"Disease"|618242
169361|"Immune dysregulation disease with immunodeficiency"|"Group of disorders"|"Category"|
626|"Large congenital melanocytic nevus"|"Disorder"|"Disease"|137550
773|"Refsum disease"|"Disorder"|"Disease"|614879
11|"Pentasomy X"|"Disorder"|"Malformation syndrome"|
169154|"T-B+ severe combined immunodeficiency due to IL-7Ralpha deficiency"|"Disorder"|"Disease"|608971
370|"Glycogen storage disease due to phosphorylase kinase deficiency"|"Group of disorders"|"Clinical group"|
169150|"Immunodeficiency due to a late component of complement deficiency"|"Disorder"|"Disease"|609536
169160|"T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta"|"Disorder"|"Disease"|615617
385|"Neurodegeneration with brain iron accumulation"|"Group of disorders"|"Clinical group"|
169157|"T-B+ severe combined immunodeficiency due to CD45 deficiency"|"Disorder"|"Disease"|608971
169139|"Transient hypogammaglobulinemia of infancy"|"Disorder"|"Disease"|
1947|"Progressive epilepsy-intellectual disability syndrome, Finnish type"|"Disorder"|"Disease"|610003
169147|"Immunodeficiency due to a classical component pathway complement deficiency"|"Disorder"|"Disease"|614380
169142|"Recurrent infection due to specific granule deficiency"|"Disorder"|"Disease"|245480
352|"Galactosemia"|"Group of disorders"|"Category"|230400
596|"X-linked centronuclear myopathy"|"Disorder"|"Disease"|310400
169349|"Immuno-osseous dysplasia"|"Group of disorders"|"Clinical group"|
