"OrphaCode"|"AverageAgeOfOnset"|"AverageAgeOfDeath"|"InheritanceTypes"
163966|"Infancy, Neonatal"|""|"X-linked dominant"
163971|"Infancy, Neonatal"|""|"X-linked recessive"
163976|""|""|"X-linked recessive"
163979|""|""|"Unknown"
163956|"Infancy"|""|"X-linked recessive"
163961|"Infancy, Neonatal"|""|"X-linked recessive"
324|"Adolescent, Adult, Childhood"|""|"X-linked dominant, X-linked recessive"
163985|"Neonatal"|""|"X-linked recessive"
778|"Infancy"|""|"X-linked dominant"
72|"Infancy"|""|"Not applicable, Unknown"
307|"Adolescent"|""|"Autosomal dominant, Autosomal recessive, Multigenic/multifactorial"
1941|"Adolescent"|""|"Multigenic/multifactorial, Unknown"
892|"Adolescent, Adult, Childhood"|""|"Autosomal dominant"
731|"All ages"|""|"Autosomal recessive"
164736|"Adolescent, Childhood"|""|"Autosomal dominant"
138|"Neonatal"|""|"Autosomal dominant, Unknown"
558|"All ages"|""|"Autosomal dominant"
165805|"Childhood, Infancy"|""|"Autosomal dominant, Autosomal recessive"
803|"Adult"|""|"Autosomal dominant, Autosomal recessive, Not applicable"
100|"Childhood, Infancy"|""|"Autosomal recessive"
733|"Adult"|""|"Autosomal dominant, Autosomal recessive"
399|"Adolescent, Adult, Childhood, Elderly"|""|"Autosomal dominant"
165955|""|""|"Not applicable"
501|"Adolescent"|""|"Autosomal recessive"
870|"Antenatal, Neonatal"|""|"Not applicable"
165958|""|""|"Not applicable"
512|"Adolescent, Adult, Childhood, Infancy"|""|"Autosomal recessive"
166011|"Infancy, Neonatal"|""|"Autosomal dominant"
567|"All ages"|""|"Autosomal dominant"
166016|"Neonatal"|""|""
232|"All ages"|""|"Autosomal recessive"
536|""|""|"Not applicable"
166002|""|""|"Autosomal dominant"
534|"Neonatal"|""|"X-linked recessive"
790|"Antenatal, Childhood, Infancy"|""|"Autosomal dominant, Not applicable"
165991|""|""|"Autosomal dominant"
652|"All ages"|""|"Autosomal dominant, Not applicable"
908|"Childhood, Infancy, Neonatal"|""|"X-linked dominant"
3099|"Childhood"|""|"Not applicable"
739|"Antenatal, Neonatal"|""|"Autosomal dominant, Not applicable"
47|"Childhood"|""|"Not applicable, X-linked recessive"
580|"Childhood"|""|"X-linked recessive"
579|"All ages"|""|"Autosomal recessive"
905|"Adolescent, Adult, Childhood, Elderly"|""|"Autosomal recessive"
792|"Adolescent, Adult, Childhood, Infancy"|""|"X-linked recessive"
827|"Adolescent, Adult, Childhood, Elderly"|""|"Autosomal dominant, Autosomal recessive"
163531|"Adolescent, Adult, Childhood, Elderly"|""|"Multigenic/multifactorial"
906|"Infancy, Neonatal"|""|"Autosomal dominant, Autosomal recessive, Not applicable, X-linked recessive"
904|"Antenatal, Neonatal"|""|"Autosomal dominant"
280|"Antenatal, Neonatal"|""|"Multigenic/multifactorial, Not applicable"
162516|"Neonatal"|""|""
15|"Neonatal"|""|"Autosomal dominant"
96|"All ages"|""|"Autosomal recessive"
101|"All ages"|""|"Autosomal dominant"
783|"Antenatal, Neonatal"|""|"Autosomal dominant, Unknown"
163649|"Infancy, Neonatal"|""|"Autosomal recessive"
631|"Neonatal"|""|"Autosomal dominant, Autosomal recessive, X-linked recessive"
276|"Neonatal"|""|"X-linked recessive"
163654|"Infancy, Neonatal"|""|"Unknown"
481|"Adult"|""|"X-linked recessive"
664|"All ages"|""|"X-linked recessive"
163668|"Infancy, Neonatal"|""|"Autosomal dominant"
163662|"Infancy, Neonatal"|""|"Autosomal dominant"
394|"Childhood"|""|"Autosomal recessive"
163665|"Childhood"|""|"Autosomal recessive"
508|"Antenatal, Neonatal"|""|"Autosomal recessive"
436|"All ages"|""|"Autosomal dominant, Autosomal recessive"
163596|"Antenatal, Neonatal"|""|"Autosomal recessive"
429|"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal"|""|"Autosomal dominant"
437|"All ages"|""|"Autosomal dominant, Autosomal recessive, X-linked dominant"
104|"Adolescent, Adult"|""|"Mitochondrial inheritance"
2182|"Antenatal, Neonatal"|""|"X-linked recessive"
163634|"Childhood"|""|"Not applicable"
163717|""|""|"Autosomal dominant"
163708|"Childhood"|""|""
636|"Infancy, Neonatal"|""|"Autosomal dominant"
163703|"All ages"|""|"Not applicable"
649|"Antenatal, Neonatal"|""|"X-linked recessive"
163727|"Infancy"|""|""
163721|""|""|"Autosomal dominant, X-linked dominant"
163684|"Childhood"|""|"Autosomal recessive"
163681|"Infancy"|""|"Autosomal recessive"
379|"Adolescent, Adult, Childhood, Infancy"|""|"Autosomal recessive, X-linked recessive"
16|"Infancy"|""|"X-linked recessive"
163699|"All ages"|""|"Not applicable"
644|"Childhood"|""|"Mitochondrial inheritance"
637|"All ages"|""|"Autosomal dominant"
163696|"Adolescent, Adult"|""|"Autosomal recessive"
181|"Childhood, Infancy"|""|"X-linked recessive"
163693|"Infancy, Neonatal"|""|"Autosomal recessive"
163690|"Infancy, Neonatal"|""|"Autosomal recessive"
337|"Childhood"|""|"Autosomal dominant, Not applicable"
377|"Adolescent, Adult"|""|"Autosomal dominant"
648|"Antenatal, Childhood, Infancy, Neonatal"|""|"Autosomal dominant, Autosomal recessive"
281|"Antenatal"|""|"Not applicable, Unknown"
752|"Adolescent, Neonatal"|""|"Autosomal recessive"
214|"All ages"|""|"Autosomal recessive, Semi-dominant"
510|"Infancy"|""|"X-linked recessive"
524|"All ages"|""|"Autosomal dominant"
699|"Infancy, Neonatal"|""|"Mitochondrial inheritance, Not applicable"
640|"Adolescent, Adult, Childhood, Elderly, Infancy"|""|"Autosomal dominant"
60|"All ages"|""|"Autosomal recessive"
895|"Neonatal"|""|"Autosomal dominant"
896|"Neonatal"|""|"Autosomal dominant, Autosomal recessive"
857|"All ages"|""|"Autosomal dominant"
894|"Neonatal"|""|"Autosomal dominant"
682|"Childhood"|""|"Autosomal dominant"
800|"Infancy, Neonatal"|""|"Autosomal recessive"
628|"Neonatal"|""|"Autosomal recessive"
673|"All ages"|""|"Not applicable"
681|"Adolescent, Childhood"|""|"Autosomal dominant"
126|"Antenatal"|""|"Autosomal dominant, Not applicable"
107|"Childhood, Infancy, Neonatal"|""|"Autosomal dominant"
774|"All ages"|""|"Autosomal dominant"
794|"Antenatal, Neonatal"|""|"Autosomal dominant"
710|"Antenatal, Neonatal"|""|"Autosomal dominant"
2869|"Adolescent, Adult, Childhood"|""|"Autosomal dominant"
893|"Neonatal"|""|"Autosomal dominant"
912|"Neonatal"|""|"Autosomal recessive"
50|"Neonatal"|""|"X-linked dominant"
53|"Childhood"|""|"Autosomal dominant"
14|"Childhood, Infancy"|""|"Autosomal recessive"
52|"All ages"|""|"Autosomal dominant"
167|"Childhood"|""|"Autosomal recessive"
195|"Antenatal, Neonatal"|""|"Not applicable"
207|"Infancy, Neonatal"|""|"Autosomal dominant"
205|"Infancy, Neonatal"|""|"Autosomal recessive"
160148|"Adolescent, Adult, Childhood, Elderly"|""|"Not applicable"
201|"All ages"|""|"Autosomal dominant"
192|"Childhood, Infancy, Neonatal"|""|"X-linked dominant"
2442|"Adolescent, Adult, Childhood, Infancy"|""|"X-linked recessive"
169808|"Infancy, Neonatal"|""|"X-linked recessive"
169802|"Infancy, Neonatal"|""|"X-linked recessive"
169805|"Infancy, Neonatal"|""|"X-linked recessive"
562|"Childhood"|""|"Not applicable"
565|"Neonatal"|""|"X-linked recessive"
2443|"All ages"|""|"Autosomal recessive"
474|"Antenatal, Neonatal"|""|"Autosomal recessive"
540|"Adolescent, Infancy"|""|"Autosomal recessive"
568|"Neonatal"|""|"X-linked recessive"
564|"Antenatal"|""|"Autosomal recessive"
289|"Antenatal, Neonatal"|""|"Autosomal recessive"
258|"Neonatal"|""|"Autosomal recessive"
1247|"All ages"|""|"Not applicable"
112|"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal"|""|"Autosomal dominant, Autosomal recessive, X-linked recessive"
1646|"Adult"|""|"Not applicable, Y-linked"
169464|"Infancy, Neonatal"|""|"Autosomal recessive"
99|"All ages"|""|"Autosomal dominant"
116|"Antenatal, Neonatal"|""|"Autosomal dominant, Unknown"
87|"Antenatal, Neonatal"|""|"Autosomal dominant"
97|"Childhood"|""|"Autosomal dominant"
313|"Neonatal"|""|"Autosomal dominant, Autosomal recessive"
169799|"Infancy, Neonatal"|""|"X-linked recessive"
169796|"Infancy, Neonatal"|""|"X-linked recessive"
169793|"Infancy, Neonatal"|""|"X-linked recessive"
1000|"Adult"|""|"X-linked recessive"
999|"Neonatal"|""|"Autosomal recessive"
171430|"Infancy, Neonatal"|""|"Autosomal recessive"
171433|"Neonatal"|""|"Autosomal dominant, Autosomal recessive"
171436|"Neonatal"|""|"Autosomal dominant, Autosomal recessive"
171439|"Childhood"|""|"Autosomal dominant"
55|"Neonatal"|""|"Autosomal recessive"
171442|"Adult"|""|"Not applicable"
171445|""|""|"Autosomal dominant"
171607|"Adolescent, Adult, Childhood"|""|"X-linked recessive"
2771|"Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
171612|"All ages"|""|"Autosomal dominant"
171617|"Childhood"|""|"Autosomal dominant"
1349|"Adult, Childhood"|""|"Mitochondrial inheritance"
171622|"Childhood"|""|"Autosomal recessive"
171629|"Adolescent, Childhood"|""|"Autosomal recessive"
861|"Neonatal"|""|"Autosomal dominant, Autosomal recessive"
308|"Adolescent, Childhood"|""|"Autosomal recessive"
199|"Antenatal, Neonatal"|""|"Autosomal dominant, Not applicable, X-linked recessive"
2162|"Antenatal, Neonatal"|""|"Autosomal recessive, Multigenic/multifactorial, Not applicable, Oligogenic, X-linked dominant"
930|"All ages"|""|"Autosomal recessive, Not applicable"
998|"Neonatal"|""|"X-linked recessive"
1727|"All ages"|""|"Autosomal dominant"
169079|"Infancy, Neonatal"|""|"Autosomal recessive"
1716|"Antenatal, Neonatal"|""|""
1715|"Adolescent, Adult, Childhood, Infancy"|""|""
3380|"Antenatal, Neonatal"|""|"Not applicable, Unknown"
168984|"Infancy, Neonatal"|""|"Unknown"
1707|"Antenatal, Neonatal"|""|""
3378|"Antenatal, Neonatal"|""|"Not applicable, Unknown"
169100|"Infancy"|""|"Autosomal recessive"
169105|"Adult"|""|""
169090|"Infancy, Neonatal"|""|"Autosomal recessive"
236|"Antenatal, Neonatal"|""|""
169095|"Infancy, Neonatal"|""|"Autosomal dominant, Autosomal recessive"
169082|"Infancy"|""|"Autosomal recessive"
169085|"Infancy, Neonatal"|""|"Autosomal recessive"
168829|"Adult"|""|"Unknown"
168816|"Adult"|""|"Unknown"
753|"Adolescent, Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
868|"Neonatal"|""|"Autosomal recessive"
168811|"Adult"|""|"Multigenic/multifactorial, Not applicable"
218|"Adolescent, Adult, Childhood"|""|"Autosomal dominant"
168796|"Adult"|""|"Autosomal dominant"
1465|"Neonatal"|""|"Autosomal dominant"
168782|"Childhood"|""|"Not applicable"
1642|"Infancy, Neonatal"|""|""
8|"All ages"|""|"Not applicable, Unknown"
1636|"Antenatal, Neonatal"|""|""
168956|"All ages"|""|"Not applicable, Unknown"
1600|"Antenatal, Neonatal"|""|"Not applicable"
1598|"Neonatal"|""|"Not applicable, Unknown"
168940|"Adolescent, Adult, Childhood"|""|"Not applicable"
2773|"Infancy, Neonatal"|""|"Unknown"
2772|"Antenatal, Neonatal"|""|"Autosomal recessive"
2609|"All ages"|""|"Autosomal recessive, Mitochondrial inheritance, X-linked dominant"
626|"Infancy, Neonatal"|""|"Not applicable"
773|"Adolescent, Adult, Childhood"|""|"Autosomal recessive"
11|"Neonatal"|""|""
169154|"Infancy"|""|"Autosomal recessive"
370|"All ages"|""|"Autosomal recessive, X-linked recessive"
169160|"Infancy"|""|"Autosomal recessive"
385|"Adolescent, Adult, Childhood, Infancy"|""|"Autosomal dominant, Autosomal recessive, X-linked dominant"
169157|"Infancy"|""|"Autosomal recessive"
1947|"Childhood"|""|"Autosomal recessive"
169142|"Infancy, Neonatal"|""|"Autosomal recessive"
352|"Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
596|"Antenatal, Neonatal"|""|"X-linked recessive"
610|"Childhood, Infancy"|""|"Autosomal dominant, Autosomal recessive"
169186|"Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
464|"Neonatal"|""|"X-linked dominant"
3307|"Antenatal, Neonatal"|""|"Not applicable"
169189|"Adolescent, Adult, Childhood, Infancy, Neonatal"|""|"Autosomal dominant"
44|"Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
56|"Adult, Infancy"|""|"Autosomal recessive"
963|"Adolescent, Adult, Childhood, Elderly, Infancy"|""|"Not applicable"
1059|"Childhood"|""|"Autosomal dominant, Not applicable"
1006|"Childhood, Infancy"|""|"Unknown"
1046|"Neonatal"|""|"Unknown"
22|"Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
29|"Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
245|"Antenatal, Neonatal"|""|"Autosomal dominant, Autosomal recessive, Not applicable"
30|"Infancy, Neonatal"|""|"Autosomal recessive"
36|"Neonatal"|""|"Autosomal recessive"
915|"Childhood"|""|"Autosomal dominant, Autosomal recessive, X-linked recessive"
2614|"Childhood, Infancy, Neonatal"|""|"Autosomal dominant"
33|"Adolescent, Adult, Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
819|"Adolescent, Adult, Childhood, Infancy, Neonatal"|""|"Autosomal dominant"
3085|"Childhood"|""|"Autosomal recessive"
9|"Infancy, Neonatal"|""|""
168615|"Adolescent"|""|"Autosomal dominant"
168612|"Antenatal, Neonatal"|""|""
1442|"Antenatal, Infancy, Neonatal"|""|""
168621|"Infancy, Neonatal"|""|""
1452|"Neonatal"|""|"Autosomal dominant, Not applicable"
1455|"Childhood"|""|"Autosomal dominant"
168629|""|""|"Autosomal dominant, Autosomal recessive"
168624|"Infancy, Neonatal"|""|"Autosomal dominant"
193|"Antenatal, Infancy, Neonatal"|""|"Autosomal recessive"
1488|"Neonatal"|""|"Autosomal recessive"
200|"Antenatal"|""|"Not applicable"
168632|""|""|"Autosomal dominant"
1334|"Childhood, Infancy"|""|"Autosomal dominant, Autosomal recessive"
168583|"Infancy, Neonatal"|""|"Autosomal recessive"
1369|"Infancy, Neonatal"|""|"Autosomal recessive"
168577|"Infancy, Neonatal"|""|"Autosomal dominant"
168593|"Infancy, Neonatal"|""|"Autosomal recessive"
1406|"Neonatal"|""|"Not applicable"
168588|""|""|"Autosomal dominant, Autosomal recessive"
168601|"Infancy, Neonatal"|""|"Autosomal recessive"
1414|"Infancy, Neonatal"|""|"Autosomal recessive"
168598|"Infancy"|""|"Autosomal recessive"
168606|"Childhood"|""|"Autosomal dominant"
168549|"Childhood, Infancy"|""|"Autosomal recessive"
168552|"Infancy"|""|"Autosomal recessive"
1154|"Neonatal"|""|"Autosomal dominant, Autosomal recessive"
168555|"Infancy"|""|"Autosomal recessive"
168558|"Infancy, Neonatal"|""|"Autosomal dominant, Autosomal recessive"
168563|"Infancy, Neonatal"|""|"Autosomal recessive"
124|"Childhood, Infancy, Neonatal"|""|"Autosomal dominant"
168566|"Infancy, Neonatal"|""|"Autosomal recessive"
1310|"Antenatal, Childhood, Infancy, Neonatal"|""|"Autosomal dominant, Unknown"
168569|"Childhood"|""|"Autosomal recessive"
168572|"Infancy, Neonatal"|""|"Autosomal recessive"
125|"Antenatal, Neonatal"|""|"Autosomal recessive"
90|"Childhood, Infancy"|""|"Autosomal recessive"
168443|"Infancy, Neonatal"|""|""
1065|"Infancy, Neonatal"|""|"Autosomal dominant, Autosomal recessive, Not applicable"
168451|"Infancy"|""|""
1135|"Antenatal, Neonatal"|""|"Unknown"
168454|"Infancy"|""|"Autosomal recessive"
1146|"Antenatal, Neonatal"|""|"Autosomal dominant"
1143|"Neonatal"|""|"Autosomal recessive"
168486|"Infancy, Neonatal"|""|"Autosomal recessive"
168491|"Childhood"|""|"Autosomal recessive"
168544|"No data available"|""|"X-linked recessive"
1147|"Neonatal"|""|"Autosomal dominant, Not applicable"
246|"Antenatal, Neonatal"|""|"Autosomal recessive"
1770|"Neonatal"|""|"Autosomal recessive"
1775|"Adolescent, Adult, Childhood, Infancy, Neonatal"|""|"Autosomal dominant, Autosomal recessive, X-linked recessive"
1764|"Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
235|"Antenatal, Neonatal"|""|"Autosomal recessive"
239|"Infancy"|""|"Autosomal recessive"
1672|"Adolescent, Adult, Childhood, Infancy"|""|"Not applicable"
833|"Antenatal, Infancy, Neonatal"|""|"Autosomal recessive"
167635|"Adult"|""|""
765|"Childhood, Infancy, Neonatal"|""|"Autosomal recessive, Not applicable, X-linked dominant"
395|"Infancy, Neonatal"|""|"Autosomal recessive"
408|"All ages"|""|"X-linked recessive"
148|"Infancy, Neonatal"|""|"Autosomal recessive"
147|"All ages"|""|"Autosomal recessive"
23|"All ages"|""|"Autosomal recessive"
45|"All ages"|""|"Autosomal recessive"
226|"Infancy, Neonatal"|""|"Autosomal recessive"
217|"Antenatal, Neonatal"|""|"Multigenic/multifactorial"
1556|"Neonatal"|""|"Not applicable"
1538|"Infancy"|""|"Autosomal dominant"
1496|"Antenatal, Neonatal"|""|"Autosomal recessive"
417|"Neonatal"|""|"Autosomal recessive, Not applicable"
2233|"Infancy"|""|"Unknown"
2248|"Antenatal, Neonatal"|""|"Unknown"
446|"Neonatal"|""|"Autosomal recessive"
2135|"Infancy, Neonatal"|""|"Autosomal recessive"
2140|"Neonatal"|""|"Multigenic/multifactorial, Not applicable"
2185|"Antenatal"|""|"Not applicable"
2116|"All ages"|""|"Autosomal recessive"
2118|"Infancy, Neonatal"|""|"Autosomal dominant"
351|"All ages"|""|"Autosomal recessive"
2020|"Infancy, Neonatal"|""|"Autosomal dominant, Autosomal recessive, X-linked recessive"
2053|"Neonatal"|""|"Autosomal dominant, Autosomal recessive"
295|"Antenatal, Neonatal"|""|"Not applicable"
1933|"Infancy"|""|"Mitochondrial inheritance"
1880|"All ages"|""|"Autosomal dominant, Not applicable"
255|"Childhood"|""|"Autosomal dominant, Autosomal recessive, Not applicable"
1915|"Antenatal, Neonatal"|""|"Not applicable"
1885|"All ages"|""|"Autosomal dominant, Autosomal recessive"
1851|""|""|"Not applicable"
660|"Antenatal"|""|"Not applicable"
635|"Childhood"|""|"Not applicable"
2612|"Childhood, Infancy, Neonatal"|""|"Not applicable"
2635|"Antenatal, Neonatal"|""|"Autosomal dominant, Not applicable"
2655|"Antenatal, Neonatal"|""|"Autosomal dominant, Not applicable"
606|"Adolescent, Adult, Elderly"|""|"Autosomal dominant"
705|"Infancy, Neonatal"|""|"Autosomal recessive"
2801|"Childhood"|""|"Autosomal recessive"
884|"Antenatal, Neonatal"|""|"Not applicable, Unknown"
2785|"Infancy, Neonatal"|""|"Autosomal recessive"
2744|"Adolescent, Childhood"|""|""
2746|"Neonatal"|""|"Autosomal recessive"
2971|"Neonatal"|""|"Autosomal recessive"
2970|"Antenatal, Neonatal"|""|"Autosomal dominant, Not applicable, X-linked recessive"
744|"Infancy"|""|"Not applicable"
2903|"Adolescent, Adult"|""|"Autosomal dominant"
2901|"Adult"|""|"Autosomal dominant, Not applicable"
718|"Antenatal, Neonatal"|""|"Autosomal dominant, Multigenic/multifactorial, Not applicable, Unknown"
290|"Antenatal, Neonatal"|""|"Not applicable"
3071|"Antenatal, Neonatal"|""|"Autosomal dominant, Not applicable"
763|"Adolescent, Adult, Childhood, Infancy"|""|"Autosomal recessive"
2983|"Neonatal"|""|"Unknown"
2301|"Infancy, Neonatal"|""|"Autosomal recessive, X-linked recessive"
469|"All ages"|""|"Autosomal recessive"
2308|"Antenatal"|""|"Not applicable, Unknown"
2318|"Infancy, Neonatal"|""|"Autosomal recessive"
2253|"Adult"|""|"Autosomal dominant"
2300|"Neonatal"|""|"Autosomal recessive"
180226|"Adolescent, Childhood"|""|"Not applicable"
502|"Childhood, Infancy, Neonatal"|""|"Autosomal dominant"
180229|"Adolescent, Adult"|""|"Not applicable"
2370|"Neonatal"|""|""
477|"Neonatal"|""|"Autosomal dominant, Autosomal recessive, Not applicable"
2346|"Adolescent, Childhood, Infancy"|""|"Autosomal dominant, Not applicable"
180247|"Adult, Elderly"|""|""
506|"All ages"|""|"Autosomal recessive, Mitochondrial inheritance, X-linked recessive"
2430|"Neonatal"|""|""
2414|"Neonatal"|""|"Autosomal recessive"
2373|"Infancy, Neonatal"|""|""
180234|"Adolescent, Adult, Childhood"|""|"Not applicable"
2377|"Neonatal"|""|"Autosomal recessive"
2374|"Neonatal"|""|""
180242|"Adult, Elderly"|""|"Not applicable"
2466|"Neonatal"|""|"X-linked recessive"
180275|"Adult"|""|""
560|"Neonatal"|""|"Autosomal dominant, Autosomal recessive"
587|"Adult"|""|"Autosomal dominant"
570|"Antenatal, Neonatal"|""|"Autosomal dominant"
1505|"Antenatal, Neonatal"|""|"Autosomal recessive"
180261|"Adult"|""|""
2444|"Adolescent, Adult, Antenatal, Neonatal"|""|"Not applicable"
612|"Childhood"|""|"Autosomal dominant"
179494|""|""|"Autosomal recessive"
716|"Infancy"|""|"Autosomal recessive"
287|"Childhood, Infancy, Neonatal"|""|"Autosomal dominant"
1020|"Adult"|""|"Autosomal dominant"
63|"Adolescent, Adult, Childhood, Elderly"|""|"Autosomal dominant, Autosomal recessive, X-linked dominant"
54|"Infancy, Neonatal"|""|"X-linked recessive"
154|"All ages"|""|"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive"
84|"Childhood"|""|"Autosomal recessive, X-linked recessive"
70|"All ages"|""|"Autosomal recessive"
69|"All ages"|""|""
180176|""|""|"Not applicable"
191|"All ages"|""|"Autosomal recessive"
166|"All ages"|""|"Autosomal dominant, Autosomal recessive, X-linked dominant, X-linked recessive"
834|"Infancy, Neonatal"|""|"Autosomal recessive"
799|"All ages"|""|"Autosomal dominant, Autosomal recessive"
3151|"Childhood"|""|"Unknown"
178566|"Adult"|""|"Not applicable"
813|"Antenatal, Neonatal"|""|"Autosomal dominant, Not applicable"
3169|"Antenatal, Neonatal"|""|"Not applicable"
816|"Infancy, Neonatal"|""|"Autosomal recessive"
821|"Antenatal, Neonatal"|""|"Autosomal dominant, Autosomal recessive"
3173|"Neonatal"|""|""
3204|"All ages"|""|"Autosomal dominant"
3205|"Neonatal"|""|"Not applicable"
3320|"Antenatal, Neonatal"|""|"Autosomal recessive"
3346|"Antenatal, Neonatal"|""|"Not applicable"
858|"Antenatal, Infancy, Neonatal"|""|"Not applicable"
887|"Neonatal"|""|"Not applicable"
291|"Antenatal, Neonatal"|""|"Not applicable"
909|"Infancy, Neonatal"|""|"Autosomal recessive"
3447|"Antenatal, Neonatal"|""|"Autosomal dominant, Not applicable"
1422|"Antenatal, Neonatal"|""|"Autosomal recessive"
178478|"Infancy, Neonatal"|""|""
178481|"All ages"|""|""
178469|""|""|"Autosomal dominant"
178475|"All ages"|""|""
178461|"Adult"|""|"X-linked recessive"
178464|"Adult"|""|"Autosomal dominant"
178396|"Adolescent"|""|"Autosomal dominant, Not applicable"
178400|"Adolescent, Adult"|""|""
178382|"Infancy, Neonatal"|""|"Autosomal dominant"
178389|"Infancy, Neonatal"|""|"Autosomal recessive"
62|"Adolescent, Childhood"|""|"Autosomal recessive"
178364|"Antenatal, Neonatal"|""|"Autosomal dominant"
