"OrphaCode"|"Gene_Symbol"|"Relationship_Type"|"Status"
269|"SMCHD1"|"Modifying germline mutation in"|"Assessed"
480|"MT-ATP8"|"Candidate gene tested in"|"Not yet assessed"
480|"RRM2B"|"Disease-causing germline mutation(s) in"|"Assessed"
480|"MT-TL1"|"Candidate gene tested in"|"Not yet assessed"
551|"MT-TP"|"Disease-causing germline mutation(s) in"|"Assessed"
551|"MT-ND5"|"Disease-causing germline mutation(s) in"|"Assessed"
551|"MT-TL1"|"Disease-causing germline mutation(s) in"|"Assessed"
551|"MT-TK"|"Disease-causing germline mutation(s) in"|"Assessed"
551|"MT-RNR1"|"Candidate gene tested in"|"Not yet assessed"
551|"MT-TQ"|"Candidate gene tested in"|"Not yet assessed"
551|"MT-TH"|"Disease-causing germline mutation(s) in"|"Assessed"
551|"MT-TS1"|"Disease-causing germline mutation(s) in"|"Assessed"
551|"MT-TS2"|"Candidate gene tested in"|"Not yet assessed"
551|"MT-TF"|"Disease-causing germline mutation(s) in"|"Assessed"
597|"RYR1"|"Disease-causing germline mutation(s) in"|"Assessed"
163746|"SOX10"|"Disease-causing germline mutation(s) in"|"Assessed"
684|"SCN4A"|"Disease-causing germline mutation(s) in"|"Assessed"
163931|"IL36RN"|"Disease-causing germline mutation(s) in"|"Assessed"
163931|"AP1S3"|"Disease-causing germline mutation(s) in"|"Assessed"
163927|"IL36RN"|"Disease-causing germline mutation(s) in"|"Assessed"
163927|"AP1S3"|"Disease-causing germline mutation(s) in"|"Assessed"
163937|"CASK"|"Disease-causing germline mutation(s) in"|"Assessed"
614|"CLCN1"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
163966|"HDAC6"|"Disease-causing germline mutation(s) in"|"Assessed"
163976|"POLA1"|"Disease-causing germline mutation(s) in"|"Assessed"
163956|"UBE2A"|"Disease-causing germline mutation(s) in"|"Assessed"
324|"GLA"|"Disease-causing germline mutation(s) in"|"Assessed"
163985|"ARHGEF9"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
778|"MECP2"|"Disease-causing germline mutation(s) in"|"Assessed"
307|"CILK1"|"Disease-causing germline mutation(s) in"|"Assessed"
307|"CACNB4"|"Disease-causing germline mutation(s) in"|"Assessed"
307|"EFHC1"|"Major susceptibility factor in"|"Assessed"
307|"GABRA1"|"Disease-causing germline mutation(s) in"|"Assessed"
307|"GABRD"|"Major susceptibility factor in"|"Assessed"
307|"KCNQ3"|"Major susceptibility factor in"|"Assessed"
307|"JRK"|"Candidate gene tested in"|"Not yet assessed"
307|"CLCN2"|"Major susceptibility factor in"|"Assessed"
1941|"EFHC1"|"Major susceptibility factor in"|"Assessed"
892|"CCND1"|"Modifying germline mutation in"|"Assessed"
892|"VHL"|"Disease-causing germline mutation(s) in"|"Assessed"
731|"DZIP1L"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
731|"PKHD1"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
164736|"PER3"|"Disease-causing germline mutation(s) in"|"Assessed"
164736|"CSNK1D"|"Disease-causing germline mutation(s) in"|"Assessed"
164736|"PER2"|"Disease-causing germline mutation(s) in"|"Assessed"
138|"SEMA3E"|"Candidate gene tested in"|"Not yet assessed"
138|"CHD7"|"Disease-causing germline mutation(s) in"|"Assessed"
165805|"CPA6"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
803|"CCNF"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"TAF15"|"Candidate gene tested in"|"Not yet assessed"
803|"EPHA4"|"Candidate gene tested in"|"Not yet assessed"
803|"ANXA11"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"CFAP410"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"GLE1"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"NEK1"|"Major susceptibility factor in"|"Assessed"
803|"GLT8D1"|"Major susceptibility factor in"|"Assessed"
803|"CHCHD10"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"DAO"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"ATXN2"|"Major susceptibility factor in"|"Assessed"
803|"CHMP2B"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"SOD1"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"TREM2"|"Major susceptibility factor in"|"Assessed"
803|"VAPB"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"VCP"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"NEFH"|"Major susceptibility factor in"|"Assessed"
803|"OPTN"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"DCTN1"|"Candidate gene tested in"|"Not yet assessed"
803|"TARDBP"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"FIG4"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"FUS"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"ANG"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"MATR3"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"PRPH"|"Major susceptibility factor in"|"Assessed"
803|"PON1"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"PON2"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"PON3"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"SQSTM1"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"UBQLN2"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"C9ORF72"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"PFN1"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"TBK1"|"Major susceptibility factor in"|"Assessed"
803|"HNRNPA1"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"PPARGC1A"|"Modifying germline mutation in"|"Assessed"
803|"ERBB4"|"Disease-causing germline mutation(s) in"|"Assessed"
803|"UNC13A"|"Major susceptibility factor in"|"Assessed"
802|"TNFRSF1A"|"Major susceptibility factor in"|"Assessed"
802|"HLA-DRB1"|"Major susceptibility factor in"|"Assessed"
802|"HLA-DQB1"|"Major susceptibility factor in"|"Not yet assessed"
802|"PDCD1"|"Modifying germline mutation in"|"Assessed"
802|"ANKRD55"|"Major susceptibility factor in"|"Assessed"
802|"CD24"|"Major susceptibility factor in"|"Assessed"
100|"ATM"|"Disease-causing germline mutation(s) in"|"Assessed"
399|"HTT"|"Disease-causing germline mutation(s) (gain of function) in"|"Assessed"
399|"SLC2A3"|"Modifying germline mutation in"|"Assessed"
501|"EPM2A"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
501|"NHLRC1"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
166011|"COL2A1"|"Disease-causing germline mutation(s) in"|"Assessed"
567|"TBX1"|"Disease-causing germline mutation(s) in"|"Assessed"
567|"TBX1"|"Role in the phenotype of"|"Assessed"
567|"ARVCF"|"Role in the phenotype of"|"Assessed"
567|"GP1BB"|"Role in the phenotype of"|"Assessed"
567|"UFD1"|"Role in the phenotype of"|"Assessed"
567|"HIRA"|"Role in the phenotype of"|"Assessed"
567|"COMT"|"Role in the phenotype of"|"Assessed"
567|"JMJD1C"|"Modifying germline mutation in"|"Assessed"
567|"RREB1"|"Modifying germline mutation in"|"Assessed"
567|"SEC24C"|"Modifying germline mutation in"|"Assessed"
232|"HBB"|"Disease-causing germline mutation(s) in"|"Assessed"
536|"PXK"|"Major susceptibility factor in"|"Assessed"
536|"IGHG1"|"Modifying germline mutation in"|"Assessed"
536|"CTLA4"|"Major susceptibility factor in"|"Assessed"
536|"TREX1"|"Major susceptibility factor in"|"Assessed"
536|"HLA-DRB1"|"Major susceptibility factor in"|"Assessed"
536|"IL10"|"Major susceptibility factor in"|"Assessed"
536|"MECP2"|"Major susceptibility factor in"|"Assessed"
536|"FCGR3B"|"Major susceptibility factor in"|"Assessed"
536|"C4A"|"Major susceptibility factor in"|"Assessed"
536|"C4B"|"Major susceptibility factor in"|"Assessed"
536|"CR2"|"Major susceptibility factor in"|"Assessed"
536|"BLK"|"Major susceptibility factor in"|"Assessed"
536|"IRF5"|"Major susceptibility factor in"|"Assessed"
536|"PDCD1"|"Major susceptibility factor in"|"Assessed"
536|"PTPN22"|"Major susceptibility factor in"|"Assessed"
536|"STAT4"|"Major susceptibility factor in"|"Assessed"
536|"FCGR2B"|"Major susceptibility factor in"|"Assessed"
536|"DNASE1"|"Major susceptibility factor in"|"Assessed"
536|"BANK1"|"Major susceptibility factor in"|"Assessed"
536|"ITGAM"|"Major susceptibility factor in"|"Assessed"
536|"KIAA0319L"|"Major susceptibility factor in"|"Assessed"
536|"JAZF1"|"Major susceptibility factor in"|"Assessed"
536|"TNIP1"|"Major susceptibility factor in"|"Assessed"
536|"TNFAIP3"|"Major susceptibility factor in"|"Assessed"
536|"UBE2L3"|"Major susceptibility factor in"|"Assessed"
536|"TNFSF4"|"Major susceptibility factor in"|"Assessed"
536|"SPP1"|"Major susceptibility factor in"|"Assessed"
536|"IRAK1"|"Major susceptibility factor in"|"Assessed"
536|"ETS1"|"Major susceptibility factor in"|"Assessed"
166002|"COL9A1"|"Disease-causing germline mutation(s) in"|"Assessed"
166002|"COL9A2"|"Disease-causing germline mutation(s) in"|"Assessed"
166002|"COL9A3"|"Disease-causing germline mutation(s) in"|"Assessed"
534|"OCRL"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
165991|"SLC16A1"|"Disease-causing germline mutation(s) in"|"Assessed"
652|"CDKN1B"|"Candidate gene tested in"|"Not yet assessed"
652|"CDKN1A"|"Candidate gene tested in"|"Not yet assessed"
652|"CDKN2B"|"Candidate gene tested in"|"Not yet assessed"
652|"CDKN2C"|"Candidate gene tested in"|"Not yet assessed"
652|"MEN1"|"Disease-causing germline mutation(s) in"|"Assessed"
908|"FMR1"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
47|"BTK"|"Disease-causing germline mutation(s) in"|"Assessed"
905|"ATP7B"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
792|"RS1"|"Disease-causing germline mutation(s) in"|"Assessed"
827|"CNGB3"|"Candidate gene tested in"|"Not yet assessed"
827|"PRPH2"|"Candidate gene tested in"|"Not yet assessed"
827|"ABCA4"|"Disease-causing germline mutation(s) in"|"Assessed"
827|"ELOVL4"|"Disease-causing germline mutation(s) in"|"Assessed"
827|"PROM1"|"Disease-causing germline mutation(s) in"|"Assessed"
906|"WAS"|"Disease-causing germline mutation(s) in"|"Assessed"
906|"WIPF1"|"Disease-causing germline mutation(s) in"|"Assessed"
904|"STX1A"|"Role in the phenotype of"|"Assessed"
904|"TBL2"|"Role in the phenotype of"|"Assessed"
904|"GTF2IRD2"|"Role in the phenotype of"|"Assessed"
904|"VPS37D"|"Role in the phenotype of"|"Assessed"
904|"FKBP6"|"Role in the phenotype of"|"Assessed"
904|"RFC2"|"Candidate gene tested in"|"Assessed"
904|"NCF1"|"Role in the phenotype of"|"Assessed"
904|"TMEM270"|"Role in the phenotype of"|"Assessed"
904|"MLXIPL"|"Candidate gene tested in"|"Not yet assessed"
904|"EIF4H"|"Role in the phenotype of"|"Assessed"
904|"DNAJC30"|"Candidate gene tested in"|"Not yet assessed"
904|"BCL7B"|"Candidate gene tested in"|"Not yet assessed"
904|"METTL27"|"Role in the phenotype of"|"Assessed"
904|"BUD23"|"Role in the phenotype of"|"Assessed"
904|"BAZ1B"|"Role in the phenotype of"|"Assessed"
904|"CLIP2"|"Role in the phenotype of"|"Assessed"
904|"ELN"|"Role in the phenotype of"|"Assessed"
904|"GTF2I"|"Role in the phenotype of"|"Assessed"
904|"GTF2IRD1"|"Role in the phenotype of"|"Assessed"
904|"LIMK1"|"Role in the phenotype of"|"Assessed"
280|"PIGG"|"Role in the phenotype of"|"Assessed"
280|"CPLX1"|"Role in the phenotype of"|"Assessed"
280|"CTBP1"|"Role in the phenotype of"|"Assessed"
280|"NSD2"|"Role in the phenotype of"|"Assessed"
280|"NELFA"|"Candidate gene tested in"|"Not yet assessed"
280|"LETM1"|"Role in the phenotype of"|"Assessed"
15|"FGFR3"|"Disease-causing germline mutation(s) (gain of function) in"|"Assessed"
96|"TTPA"|"Disease-causing germline mutation(s) in"|"Assessed"
101|"ATN1"|"Disease-causing germline mutation(s) in"|"Assessed"
276|"IL2RG"|"Disease-causing germline mutation(s) in"|"Assessed"
481|"AR"|"Disease-causing germline mutation(s) in"|"Assessed"
664|"OTC"|"Disease-causing germline mutation(s) in"|"Assessed"
394|"CBS"|"Disease-causing germline mutation(s) in"|"Assessed"
508|"INSR"|"Disease-causing germline mutation(s) in"|"Assessed"
163596|"HBA2"|"Disease-causing germline mutation(s) in"|"Assessed"
163596|"HBA1"|"Disease-causing germline mutation(s) in"|"Assessed"
429|"FGFR3"|"Disease-causing germline mutation(s) (gain of function) in"|"Assessed"
104|"NDUFS2"|"Disease-causing germline mutation(s) in"|"Assessed"
104|"DNAJC30"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
104|"MT-ATP6"|"Disease-causing germline mutation(s) in"|"Assessed"
104|"MT-CO1"|"Candidate gene tested in"|"Not yet assessed"
104|"MT-CO3"|"Disease-causing germline mutation(s) in"|"Assessed"
104|"MT-CYB"|"Disease-causing germline mutation(s) in"|"Assessed"
104|"MT-ND1"|"Disease-causing germline mutation(s) in"|"Assessed"
104|"MT-ND2"|"Disease-causing germline mutation(s) in"|"Assessed"
104|"MT-ND4"|"Disease-causing germline mutation(s) in"|"Assessed"
104|"MT-ND4L"|"Disease-causing germline mutation(s) in"|"Assessed"
104|"MT-ND5"|"Disease-causing germline mutation(s) in"|"Assessed"
104|"MT-ND6"|"Disease-causing germline mutation(s) in"|"Assessed"
2182|"L1CAM"|"Disease-causing germline mutation(s) in"|"Assessed"
163634|"IDH2"|"Disease-causing somatic mutation(s) in"|"Assessed"
163634|"IDH1"|"Disease-causing somatic mutation(s) in"|"Assessed"
163717|"CPA6"|"Disease-causing germline mutation(s) (gain of function) in"|"Assessed"
649|"NDP"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
163727|"TBC1D24"|"Disease-causing germline mutation(s) in"|"Assessed"
163721|"SRPX2"|"Disease-causing germline mutation(s) in"|"Assessed"
163721|"GRIN2A"|"Disease-causing germline mutation(s) in"|"Assessed"
163684|"SCP2"|"Disease-causing germline mutation(s) in"|"Assessed"
163681|"CNTNAP2"|"Disease-causing germline mutation(s) in"|"Assessed"
379|"CYBB"|"Disease-causing germline mutation(s) in"|"Assessed"
379|"NCF1"|"Disease-causing germline mutation(s) in"|"Assessed"
379|"NCF2"|"Disease-causing germline mutation(s) in"|"Assessed"
379|"CYBA"|"Disease-causing germline mutation(s) in"|"Assessed"
379|"NCF4"|"Disease-causing germline mutation(s) in"|"Assessed"
379|"CYBC1"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
16|"OPN1MW"|"Disease-causing germline mutation(s) in"|"Assessed"
16|"OPN1LW"|"Disease-causing germline mutation(s) in"|"Assessed"
163699|"TFE3"|"Part of a fusion gene in"|"Assessed"
163699|"ASPSCR1"|"Part of a fusion gene in"|"Assessed"
644|"MT-ATP6"|"Disease-causing germline mutation(s) in"|"Assessed"
637|"NF2"|"Disease-causing germline mutation(s) in"|"Assessed"
163696|"SCARB2"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
181|"EDA"|"Disease-causing germline mutation(s) in"|"Assessed"
181|"EDA2R"|"Disease-causing germline mutation(s) in"|"Assessed"
163693|"SLC3A1"|"Role in the phenotype of"|"Assessed"
163693|"PREPL"|"Role in the phenotype of"|"Assessed"
163693|"CAMKMT"|"Role in the phenotype of"|"Assessed"
163693|"PPM1B"|"Role in the phenotype of"|"Assessed"
163690|"SLC3A1"|"Role in the phenotype of"|"Assessed"
163690|"PREPL"|"Role in the phenotype of"|"Assessed"
337|"ACVR1"|"Disease-causing germline mutation(s) (gain of function) in"|"Assessed"
377|"PTCH1"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
377|"SUFU"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
377|"PTCH2"|"Disease-causing germline mutation(s) in"|"Assessed"
648|"RRAS"|"Candidate gene tested in"|"Not yet assessed"
648|"MRAS"|"Disease-causing germline mutation(s) in"|"Assessed"
648|"SPRED2"|"Disease-causing germline mutation(s) in"|"Assessed"
648|"RRAS2"|"Disease-causing germline mutation(s) in"|"Assessed"
648|"PTPN11"|"Disease-causing germline mutation(s) in"|"Assessed"
648|"CBL"|"Disease-causing germline mutation(s) in"|"Assessed"
648|"SOS1"|"Disease-causing germline mutation(s) (gain of function) in"|"Assessed"
648|"KRAS"|"Disease-causing germline mutation(s) in"|"Assessed"
648|"RAF1"|"Disease-causing germline mutation(s) (gain of function) in"|"Assessed"
648|"NRAS"|"Disease-causing germline mutation(s) in"|"Assessed"
648|"RIT1"|"Disease-causing germline mutation(s) (gain of function) in"|"Assessed"
648|"LZTR1"|"Disease-causing germline mutation(s) in"|"Assessed"
648|"RASA2"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
648|"SOS2"|"Disease-causing germline mutation(s) in"|"Assessed"
281|"SEMA5A"|"Candidate gene tested in"|"Not yet assessed"
281|"CTNND2"|"Role in the phenotype of"|"Assessed"
752|"HSD17B3"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
510|"HPRT1"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
524|"CDKN2A"|"Candidate gene tested in"|"Not yet assessed"
524|"MDM2"|"Modifying germline mutation in"|"Assessed"
524|"TP53"|"Disease-causing germline mutation(s) in"|"Assessed"
524|"CHEK2"|"Candidate gene tested in"|"Not yet assessed"
640|"PMP22"|"Disease-causing germline mutation(s) in"|"Assessed"
640|"PMP22"|"Role in the phenotype of"|"Assessed"
60|"SERPINA1"|"Disease-causing germline mutation(s) in"|"Assessed"
895|"KITLG"|"Disease-causing germline mutation(s) in"|"Assessed"
895|"TYR"|"Modifying germline mutation in"|"Assessed"
895|"SNAI2"|"Disease-causing germline mutation(s) in"|"Assessed"
895|"SOX10"|"Disease-causing germline mutation(s) in"|"Assessed"
895|"MITF"|"Disease-causing germline mutation(s) in"|"Assessed"
895|"EDNRB"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
896|"PAX3"|"Disease-causing germline mutation(s) in"|"Assessed"
857|"SALL1"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
857|"DACT1"|"Disease-causing germline mutation(s) in"|"Assessed"
894|"PAX3"|"Disease-causing germline mutation(s) in"|"Assessed"
682|"SCN4A"|"Disease-causing germline mutation(s) (gain of function) in"|"Assessed"
800|"HSPG2"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
628|"SLC26A2"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
681|"SCN4A"|"Disease-causing germline mutation(s) in"|"Assessed"
681|"CACNA1S"|"Disease-causing germline mutation(s) in"|"Assessed"
681|"KCNE3"|"Candidate gene tested in"|"Not yet assessed"
107|"SIX1"|"Disease-causing germline mutation(s) in"|"Assessed"
107|"EYA1"|"Disease-causing germline mutation(s) in"|"Assessed"
107|"SIX5"|"Disease-causing germline mutation(s) in"|"Assessed"
774|"ACVRL1"|"Disease-causing germline mutation(s) in"|"Assessed"
774|"SMAD4"|"Disease-causing germline mutation(s) in"|"Assessed"
774|"ENG"|"Disease-causing germline mutation(s) in"|"Assessed"
774|"GDF2"|"Disease-causing germline mutation(s) in"|"Assessed"
794|"FGFR3"|"Candidate gene tested in"|"Not yet assessed"
794|"FGFR2"|"Candidate gene tested in"|"Not yet assessed"
794|"TWIST1"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
2869|"STK11"|"Disease-causing germline mutation(s) in"|"Assessed"
862|"DRD3"|"Major susceptibility factor in"|"Assessed"
862|"FUS"|"Major susceptibility factor in"|"Assessed"
862|"LINGO1"|"Major susceptibility factor in"|"Assessed"
862|"TENM4"|"Disease-causing germline mutation(s) in"|"Assessed"
893|"BDNF"|"Modifying germline mutation in"|"Assessed"
893|"WT1"|"Role in the phenotype of"|"Assessed"
893|"PAX6"|"Role in the phenotype of"|"Assessed"
912|"PEX11B"|"Disease-causing germline mutation(s) in"|"Assessed"
912|"PEX2"|"Disease-causing germline mutation(s) in"|"Assessed"
912|"PEX1"|"Disease-causing germline mutation(s) in"|"Assessed"
912|"PEX10"|"Disease-causing germline mutation(s) in"|"Assessed"
912|"PEX12"|"Disease-causing germline mutation(s) in"|"Assessed"
912|"PEX13"|"Disease-causing germline mutation(s) in"|"Assessed"
912|"PEX14"|"Disease-causing germline mutation(s) in"|"Assessed"
912|"PEX16"|"Disease-causing germline mutation(s) in"|"Assessed"
912|"PEX19"|"Disease-causing germline mutation(s) in"|"Assessed"
912|"PEX26"|"Disease-causing germline mutation(s) in"|"Assessed"
912|"PEX3"|"Disease-causing germline mutation(s) in"|"Assessed"
912|"PEX5"|"Disease-causing germline mutation(s) in"|"Assessed"
912|"PEX6"|"Disease-causing germline mutation(s) in"|"Assessed"
53|"CLCN7"|"Disease-causing germline mutation(s) in"|"Assessed"
14|"MTTP"|"Disease-causing germline mutation(s) in"|"Assessed"
167|"LYST"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
207|"FGFR2"|"Disease-causing germline mutation(s) (gain of function) in"|"Assessed"
207|"ERF"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
201|"PTEN"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
201|"USF3"|"Disease-causing germline mutation(s) in"|"Assessed"
