"Parent_OrphaCode"|"OrphaCode"
1531|139393
139393|65759
139393|794
139393|710
710|93260
710|93259
710|93258
139393|1906
139393|96169
139393|2332
139393|565858
139393|97297
139393|235
139393|36
139393|1465
139393|763
139393|2655
2655|93274
2655|1860
139393|293843
139393|1520
139393|313855
139393|369837
139393|3210
139393|3270
139393|904
139393|2645
139393|79213
79213|67041
79213|579
579|93476
579|93474
579|93473
79213|584
79213|583
583|276223
583|276212
79213|582
582|309297
582|309310
79213|581
581|79272
581|79271
581|79270
581|79269
79213|580
580|217093
580|217085
139393|648
139393|247667
139393|293925
139393|284149
139393|221054
139393|178377
139393|171839
139393|169163
169163|168624
169163|1538
139393|100978
139393|247638
139393|93267
139393|93262
139393|85199
139393|247651
139393|53271
139393|52054
139393|1524
139393|1541
139393|2898
139393|3369
139393|3365
139393|3134
139393|2872
139393|2462
139393|2409
139393|2163
139393|2145
139393|1555
139393|1553
139393|1540
139393|1528
139393|1527
139393|1515
139393|1225
139393|83
83|596008
83|63269
139393|87
139393|1308
139393|207
139393|65798
1531|139390
139390|620152
620152|1516
620152|35099
620152|620212
620152|620205
620152|620198
620152|620192
620152|620186
620152|620178
620152|620158
139390|620096
620096|35093
620096|3366
620096|620146
620096|620139
620096|620113
620096|620102
93419|364526
364526|364531
364531|2762
364531|337
364526|93465
93465|1423
93465|3003
93465|2347
93465|1842
364526|93451
93451|85199
93451|60015
93451|3472
93451|3034
93451|1452
93451|251290
364526|93450
93450|329475
93450|163634
93450|99647
93450|99646
93450|93398
93450|85198
93450|85197
93450|57782
93450|53697
93450|52430
93450|321
93450|3408
93450|3019
93450|2867
93450|2767
93450|2645
93450|2499
93450|296
93450|2762
93450|2770
93450|1962
93450|1822
93450|184
93450|595216
595216|249
249|93277
249|93276
595216|562
93450|337
93450|636
636|363700
636|97685
93450|73
364526|93449
93449|371428
93449|352636
93449|280576
93449|85195
93449|50809
93449|740
93449|2776
93449|2774
93449|2457
2457|90154
2457|90153
93449|1952
93449|955
93449|498474
498474|2176
498474|2028
364526|93447
93447|289098
289098|289103
289103|289157
289103|93160
289098|437
437|289176
437|157215
437|89937
437|89936
437|1652
1652|93622
1652|93623
437|244305
93447|79106
93447|73230
93447|50811
93447|405
405|101050
405|101049
405|93372
93447|417
93447|436
436|247685
436|247676
436|247667
436|247651
436|247638
436|247623
93447|557003
93447|1416
364526|93446
93446|536532
93446|536467
93446|498481
93446|391330
93446|319195
93446|314667
93446|230857
93446|166277
93446|90350
93446|85194
93446|85193
93446|85192
93446|85191
93446|53697
93446|457378
93446|2788
93446|2787
93446|2786
93446|2324
93446|2097
93446|2078
93446|2050
93446|666
666|216828
666|216820
666|216812
666|216804
666|216796
93446|2773
93446|2772
93446|2771
364526|93444
93444|329475
93444|443098
93444|391327
93444|324364
93444|314029
93444|248095
248095|2796
248095|1525
93444|93443
93443|50945
93443|35107
93443|1832
93443|1310
93444|85188
93444|85186
93444|85184
93444|85182
93444|75325
93444|2781
2781|603494
2781|556985
2781|500548
2781|99844
2781|85179
2781|69088
2781|1306
2781|2783
2781|667
2781|2780
2781|2777
2781|2485
2781|1879
2781|1782
2781|763
2781|2785
2781|53
2781|210110
2781|178389
2781|166119
2781|94063
93444|2204
93444|3416
93444|3352
93444|3152
93444|3005
93444|2790
93444|2779
93444|2710
93444|2658
93444|1802
93444|1798
93444|1562
93444|1522
93444|1513
93444|1328
93444|2801
93444|52430
364526|93442
93442|85202
93442|85175
93442|176
176|79347
176|79346
176|79345
176|35173
93442|177
177|468717
177|309796
177|309789
177|309803
93442|139
93442|1426
364526|93441
93441|589442
93441|527450
93441|438117
93441|93359
93441|284139
93441|280586
93441|263463
93441|85174
93441|56305
93441|503
93441|2371
93441|1508
93441|1425
93441|1263
93441|114
93441|1190
93441|2370
93441|93360
364526|93440
93440|572761
572761|572773
572761|572768
93440|2109
93440|85172
93440|2636
93440|2643
93440|50811
93440|2637
93440|2554
93440|808
93440|2108
93440|1506
93440|314394
93440|85173
93440|2763
93440|2616
93440|2333
2333|93325
2333|93324
364526|93439
93439|324307
93439|313855
93439|3206
93439|3344
93439|2768
93439|2646
93439|2292
93439|1801
93439|1318
93439|140
364526|93438
93438|632603
93438|580940
93438|611223
93438|163966
93438|440354
93438|424099
93438|397623
93438|314795
93438|97360
97360|3107
97360|1507
93438|85170
93438|56304
93438|2831
93438|3098
93438|2733
2733|93329
2733|93328
93438|2634
93438|2633
93438|2632
93438|2631
93438|2497
93438|2021
93438|1836
93438|1765
93438|1453
93438|240
364526|93437
93437|93382
93437|2639
93437|2496
93437|2098
93437|40
93437|968
364526|93436
93436|457059
457059|79445
457059|79444
457059|79443
93436|2588
93436|324764
324764|77258
324764|502
93436|88630
93436|85168
93436|63446
93436|63442
93436|3041
93436|2623
93436|969
93436|1795
93436|950
93436|3449
93436|464288
93436|623695
364526|93434
93434|508533
93434|401979
93434|93317
93434|85166
93434|66637
93434|3275
93434|3180
93434|3144
93434|1436
93434|1293
1293|93304
1293|93302
1293|2899
1293|448242
93434|932
932|93299
932|93298
932|93297
932|93296
93434|2746
93434|622934
364526|93430
93430|166038
93430|33067
93430|811
93430|175
93430|2504
93430|2502
93430|2501
93430|1837
93430|174
93430|1240
93430|79106
93430|1040
364526|93429
93429|250984
93429|168621
93429|750
93429|2114
93429|1824
93429|251
251|166032
251|166029
251|166024
251|166016
251|166011
251|166002
251|93311
251|93308
251|93307
364526|93426
93426|1861
93426|464366
93426|140969
93426|3317
93426|2753
93426|1803
93426|1505
1505|397715
1505|93271
1505|93270
1505|93269
1505|93268
1505|1515
1505|289
1505|474
1505|498497
364526|254
254|589435
254|168552
254|168549
254|168544
254|166272
254|93316
254|93315
254|93314
254|85167
254|1855
254|448267
254|370019
254|168555
364526|253
253|459051
253|459070
253|457395
253|611207
253|496751
253|436174
253|420794
253|370015
253|353298
253|263482
253|228387
253|178355
253|171866
253|168454
253|168451
253|168443
253|166100
253|163668
253|163665
253|163662
253|163654
253|163649
253|157965
253|156731
253|156728
253|137678
253|99642
253|94068
253|93360
253|93359
253|93358
253|93357
253|93356
253|93352
253|93351
253|93349
253|93347
253|93346
253|93284
253|93283
253|93282
253|93279
253|2619
253|83629
253|1856
253|3101
253|485
253|1865
253|1830
253|1667
253|1427
253|1159
253|828
828|250984
828|90654
828|90653
253|2635
253|560
253|239
253|800
253|1458
364526|435804
364526|364541
364541|137834
364541|90650
364541|2484
364541|1826
364541|90652
364526|364536
364536|85165
364536|1422
364536|2655
364536|628
364536|429
364536|15
364526|498448
498448|597738
498448|477831
498448|498485
498448|329191
498448|498488
498448|60030
498448|115
498448|140944
498448|744
498448|561
498448|821
498448|3447
498448|558
558|284973
558|284963
498448|622925
364526|498445
498445|53715
53715|306661
53715|306658
498445|77297
498445|210115
498445|1451
498445|498474
498445|1159
364526|488265
93419|352540
93419|300493
93419|235832
235832|329324
235832|140436
235832|75508
235832|73
235832|2346
2346|90308
2346|90307
93419|93448
93448|87876
87876|93400
87876|93399
93448|67041
93448|582
93448|581
93448|354
354|79257
354|79256
354|79255
93448|309324
93448|351
93448|579
93448|580
93448|584
93448|577
577|423470
577|423461
93448|576
93448|583
93448|349
93448|118
93448|585
93448|93
93448|61
61|309282
61|309288
93419|68411
68411|435329
68411|404507
68411|223727
223727|370348
223727|363976
223727|55880
223727|319
223727|668
223727|2030
223727|2023
68411|163634
68411|85182
68411|83468
68411|58040
68411|55881
68411|321
68411|2760
68411|296
68411|480553
68411|178
0|97929
97929|565612
97929|263352
97929|97292
97929|363618
97929|218436
218436|218439
218439|45453
218439|45452
218439|3282
218436|101934
101934|476084
101934|542306
101934|480864
101934|436242
101934|435988
101934|324410
101934|324321
101934|228140
101934|228012
101934|168796
101934|166282
101934|137675
101934|60041
101934|51084
101934|51083
101934|37553
101934|334
101934|130
101934|3286
101934|3283
101934|1479
101934|2946
101934|1350
101934|1342
101934|392
101934|1344
101934|871
101934|844
101934|768
768|101016
768|90647
768|65283
65283|595109
65283|595105
65283|595098
97929|168194
168194|319340
168194|875
168194|874
168194|615
168194|1359
97929|167848
167848|329874
167848|217678
217678|478049
217678|66529
217678|54260
217678|3403
167848|217632
217632|217720
217720|85443
85443|314709
85443|314701
217720|330001
217720|570762
217720|168956
168956|314950
168956|3260
168956|314962
314962|314970
217720|90291
90291|220407
90291|220402
90291|220393
217720|85445
217720|75566
217720|75565
217720|797
217720|2119
217720|2022
217632|217635
217635|217638
217638|93473
217638|77259
217638|324
217638|365
365|420429
365|308552
217635|98909
217635|271861
271861|85447
271861|85451
217635|75249
217635|758
217635|1344
217635|2119
167848|217604
217604|217629
217629|324767
324767|183
324767|2119
217629|57777
217629|563
217629|2022
217604|217607
217607|34587
217607|371176
371176|319646
371176|263494
371176|206554
371176|91131
217607|300751
217607|217619
217619|2663
217619|476096
217619|217622
217619|168796
217619|79159
217619|73224
217619|66634
217619|65282
217619|59306
217619|2515
217619|2229
217619|1606
217619|1493
217619|1345
217619|64
217607|217616
217616|99901
217616|158
217607|217613
217613|137675
217613|99718
217613|111
217613|104
217613|551
217613|550
217613|480
217607|217610
217610|397937
217610|289377
217610|206554
217610|98909
217610|219
217610|353
217610|119
217610|62
217610|261
261|98863
261|98855
261|98853
217610|262
262|206546
262|98896
262|98895
217610|466801
217607|154
217607|367
367|308712
367|308698
367|308684
367|308670
367|308655
367|308638
367|308621
367|206583
217607|2119
167848|217569
217569|217598
217598|85443
217598|57777
217598|1926
217569|99739
99739|217595
217595|1340
217595|363972
217595|500
217595|648
217595|2701
217595|3071
217595|98909
217595|399058
217595|228012
217595|91130
217595|242
217595|116
116|238613
116|231130
116|231127
116|231120
116|231117
116|96193
116|96076
217595|273
273|589821
273|589833
273|589830
273|589827
273|589824
217595|95
99739|217591
217591|99901
217591|26793
217591|26791
26791|394532
26791|394529
217591|5
217591|159
217591|746
99739|217587
217587|570491
217587|457185
217587|496790
217587|444013
217587|369913
217587|352563
217587|324525
217587|319678
217587|314637
217587|99718
217587|1369
217587|1349
217587|104
217587|551
217587|550
99739|217581
217581|93476
217581|93473
217581|580
217581|324
217581|365
217581|349
217581|118
99739|217572
217572|137625
217572|34587
217572|366
217572|365
217572|439854
167848|247
247|217656
217656|293910
217656|293899
217656|293888
247|34217
0|97965
97965|156532
156532|597743
156532|592570
156532|589435
156532|580933
156532|1354
156532|508498
156532|508488
156532|508476
156532|496693
156532|521438
156532|2519
156532|870
156532|562569
156532|457193
156532|3191
156532|453499
156532|98733
98733|638
98733|363972
98733|2701
98733|1340
98733|500
98733|3071
98733|648
156532|2475
156532|444077
156532|371183
371183|284139
371183|263508
371183|79333
371183|79329
371183|3474
371183|2953
371183|709
156532|369891
156532|284247
156532|230851
156532|228410
156532|228190
156532|217026
156532|137628
156532|75389
156532|69737
156532|42775
156532|3316
156532|1479
156532|2886
156532|2516
156532|1352
156532|392
156532|289
156532|52
156532|904
156532|567
156532|138
156532|467176
156532|488618
97965|88991
88991|474347
474347|99092
474347|99094
88991|1055
88991|448270
88991|363189
363189|98729
98729|185
98729|3090
3090|99125
3090|99124
363189|3091
3091|480531
3091|95507
3091|95500
95500|99118
95500|99117
3091|95499
95499|99123
95499|99122
95499|99121
95499|99120
95499|99119
3091|95498
95498|99114
95498|99113
95498|99112
95498|99111
95498|99110
95498|99109
88991|98727
98727|568065
98727|99107
98727|95510
95510|99102
95510|99101
95510|99100
98727|1677
98727|1463
1463|99099
1463|99098
98727|1478
1478|99106
1478|99105
1478|99104
1478|99103
88991|98724
98724|98725
98725|3400
3400|99071
3400|99070
98725|3093
3093|101043
3093|95448
98725|1054
98724|98719
98719|99084
98719|99083
98719|1676
98719|3189
3189|99054
3189|3192
3189|3190
98719|980
98719|982
982|101206
982|99048
98719|1208
98724|98718
98718|542568
98718|402075
98718|3093
98718|3092
3092|99053
3092|99052
3092|99051
98718|2299
98718|1457
1457|1456
1457|1455
98718|3193
98724|95485
95485|466729
95485|99072
95485|95486
98724|185
98724|3188
98724|1132
1132|99082
1132|99081
1132|99079
1132|99078
1132|99077
1132|99076
1132|99075
88991|98720
98720|555877
98720|98722
98722|576242
98722|1330
1330|576235
1330|576232
98722|1329
1329|576227
1329|99068
1329|99067
98720|98721
98721|95457
98721|1209
98721|1880
98721|555874
98721|95463
95463|99056
95463|99055
98721|95462
98721|95461
98721|95459
98720|2447
2447|95465
95465|99064
95465|95474
2447|95464
95464|101932
95464|99063
95464|99062
95464|99061
95464|99060
95464|99059
95464|99058
95464|99057
95464|1205
95464|741
88991|98717
98717|216675
216675|216694
216675|860
860|216729
860|216718
860|99042
98717|98719
98717|98718
98717|2445
2445|3427
2445|3426
3426|423712
3426|423693
3426|99046
3426|99045
3426|99043
2445|2037
2445|1207
2445|1138
1138|99050
1138|99049
2445|982
2445|3384
2445|3303
88991|98716
98716|95443
98716|450
450|566862
450|157769
450|101063
450|97548
450|95854
450|1666
88991|95483
95483|98723
98723|439
98723|1208
95483|1464
95483|2248
88991|1461
88991|1686
88991|1081
1081|542822
542822|99090
542822|99089
542822|99087
1081|541507
1081|541478
541478|541454
541478|541443
1081|95491
1081|2041
88991|2846
2846|99131
2846|99130
2846|99129
88991|99095
0|98028
98028|68419
68419|211243
211243|98731
98731|2039
211243|211266
211266|156230
156230|141174
156230|141171
156230|141168
211266|141189
141189|141199
141189|141194
141189|53719
211266|79093
211266|53721
211266|97339
211266|1053
211266|46724
211266|2038
211243|211255
211255|2415
2415|464321
2415|73
2415|141209
2415|458833
458833|458792
458833|79490
458833|79489
2415|99141
211255|77240
77240|568047
568047|742
568047|805
568047|99807
568047|2710
568047|69088
568047|48652
568047|2836
568047|1655
568047|1340
568047|881
881|99413
881|99228
881|99226
568047|648
568047|324
568047|487796
77240|568044
568044|86915
568044|69735
568044|662
568044|568056
568044|568062
568044|568065
568044|2136
568044|1116
568044|1563
77240|568041
568041|289825
289825|569816
289825|90186
289825|99141
289825|568051
289825|33001
289825|1414
289825|3226
568041|2416
2416|2077
2416|2526
2416|569821
2416|79452
211243|211252
211252|217008
211252|83454
211252|2451
211252|1059
211252|221061
211243|211247
211247|137667
211247|1556
211247|774
211247|458830
458830|276280
458830|294016
458830|60040
458830|3205
458830|2703
211247|624
211247|95429
68419|211237
211237|464329
211237|464318
211237|458827
458827|329324
458827|83628
458827|42775
211237|210589
210589|137935
210589|140436
211237|157791
211237|71213
211237|2122
211237|1063
211237|210584
211237|458775
458775|141179
458775|458785
458775|141184
211237|263413
211237|2123
211237|458768
211237|33276
211237|1062
211237|458763
211237|458758
68419|458844
458844|494424
458844|363189
458844|98724
458844|981
68419|458837
68419|211277
211277|163634
211277|140944
211277|744
211277|86914
211277|109
211277|75508
211277|2346
211277|137608
211277|168984
98028|68362
68362|52759
52759|445197
445197|251325
445197|48435
52759|251328
52759|156146
156146|425120
156146|156152
156152|900
156152|727
156152|183
156146|156149
156149|91138
91138|93555
91138|93554
156149|90000
156149|36412
156149|889
156149|761
156146|375
156146|140989
52759|156143
156143|596753
156143|404553
156143|140989
156143|36258
156143|767
767|439746
767|439737
439737|439762
439737|439755
439737|439729
156143|2331
52759|156140
156140|228116
156140|1467
156140|397
156140|3287
156140|117
156140|26137
68362|496924
496924|838
496924|458718
496924|439175
496924|280062
280062|280068
280062|280065
496924|233655
233655|90349
233655|314718
233655|289601
233655|285014
285014|229
285014|404463
285014|402075
285014|284984
285014|284979
285014|91387
285014|60030
285014|286
285014|3342
285014|558
285014|622925
233655|51608
233655|86
496924|820
496924|1682
496924|542643
496924|90064
98028|93618
93618|156629
156629|235936
235936|404
235936|403
235936|251274
156629|88660
156629|88659
156629|320
156629|758
156629|757
757|300530
757|300525
757|88940
757|88939
757|88938
156629|424
156629|1276
156629|526
156629|636
156629|904
93618|97598
0|93890
93890|90771
90771|325546
325546|199310
325546|96264
325546|96263
325546|1772
325546|10
325546|881
90771|98085
98085|325351
325351|325537
325351|325357
325357|443090
443090|443087
325357|98086
98086|753
325357|90783
90783|325511
325511|818
90783|90787
90787|90796
90787|752
90783|90786
90786|63269
90786|168558
90786|95699
90786|90793
90786|90791
90786|90790
90790|325529
90790|325524
325357|755
755|325448
755|96266
755|96265
325351|2856
325351|754
754|99429
754|90797
98085|325118
325118|325345
325118|325124
325118|251510
325118|983
325118|242
98085|98087
98087|2075
98087|494433
98087|456328
98087|168593
98087|168563
98087|95700
98087|452
98087|347
98087|220
98087|3097
98087|2282
98087|991
98087|140
98087|847
98087|1422
98087|2983
98087|1770
98087|1642
98087|893
98085|49
90771|2982
2982|325109
325109|247768
325109|139466
325109|137631
325109|85112
325109|2975
325109|2973
325109|2855
325109|991
2982|325055
325055|444048
325055|393
325055|2138
325055|243
2982|98078
98078|325061
325061|91
98078|91144
91144|325099
91144|325093
98078|90776
90776|63269
90776|95699
90776|90795
90776|90794
90794|315311
90794|315306
90776|90791
90776|786
93890|90642
90642|280
90642|363396
90642|324321
90642|168569
90642|633014
633014|633024
633014|633021
90642|603494
90642|611207
90642|611201
90642|543470
90642|542585
90642|488232
90642|494444
90642|494439
90642|456318
90642|456312
90642|447954
90642|500188
90642|166100
90642|163746
90642|163668
90642|140963
90642|140917
90642|139512
90642|97229
97229|572550
97229|572543
90642|94064
90642|90658
90642|90647
90642|90646
90642|90103
90642|90024
90642|89938
90642|85321
90642|79107
90642|71271
90642|71267
90642|69737
90642|66633
90642|64747
64747|352675
64747|101078
64747|101077
64747|101076
64747|101075
64747|99014
90642|52429
90642|52368
90642|50815
90642|50811
90642|49827
90642|42665
90642|225
90642|3240
90642|1171
90642|1123
90642|1383
90642|1192
90642|2653
90642|3241
90642|3239
90642|3238
90642|3237
90642|3235
90642|3233
90642|3232
90642|3231
3231|79500
3231|79499
90642|3230
90642|3226
90642|3225
90642|3224
90642|69739
90642|3220
90642|3219
90642|3218
90642|3217
90642|3214
90642|2878
90642|2866
90642|2855
90642|2838
90642|2820
90642|2815
90642|2755
90642|2754
90642|2753
90642|2752
90642|2751
90642|2750
90642|2732
90642|2698
90642|2690
90642|2669
90642|2668
90642|2608
90642|2589
90642|2533
90642|182050
90642|231720
90642|90650
90642|2663
90642|457223
90642|2074
90642|457351
90642|631248
90642|500144
90642|589442
90642|589856
90642|557003
90642|90652
90642|544503
90642|3216
90642|2502
90642|2408
90642|2405
90642|494
90642|2237
90642|1051
90642|2202
90642|2155
90642|2027
90642|2003
90642|1883
90642|1529
90642|1490
90642|1435
90642|1399
90642|1368
90642|1248
90642|1200
90642|1188
90642|1187
90642|1144
90642|64
90642|2597
90642|2052
90642|500
90642|897
90642|828
90642|3463
90642|3440
3440|896
3440|895
3440|894
90642|886
886|231178
886|231169
886|231183
90642|191
191|90324
191|90322
191|90321
191|1466
90642|63
63|1018
63|88919
63|88918
63|88917
90642|705
90642|477
90642|3085
90642|1000
90642|999
90642|998
90642|861
90642|107
90642|857
90642|649
90642|637
90642|567
90642|138
90642|550
90642|480
90642|448251
90642|445062
90642|443995
90642|443098
90642|440354
90642|438134
90642|436174
90642|411590
90642|402041
90642|397744
90642|371212
371212|363417
371212|263508
371212|244310
371212|3474
90642|369939
90642|363649
90642|352328
90642|330054
90642|330029
90642|329336
90642|314597
90642|314404
90642|300333
90642|300284
90642|293967
90642|293958
90642|289553
90642|280406
90642|228012
90642|220295
90642|199343
90642|171851
90642|171848
90642|456298
90642|397623
90642|521445
90642|521438
90642|508476
90642|529574
93890|83001
83001|165707
165707|597749
165707|567502
165707|495875
165707|500135
165707|439897
165707|423655
423655|452
423655|2508
165707|251071
165707|99329
165707|96264
165707|96263
165707|1655
165707|85173
165707|3411
165707|2745
165707|3341
165707|3224
165707|2957
165707|2669
165707|2491
165707|2487
165707|2437
165707|2353
165707|2261
165707|2252
165707|2211
165707|1974
165707|1299
165707|921
165707|3176
165707|10
165707|444941
165707|1046
165707|915
165707|138
165707|881
165707|597743
83001|165704
165704|182124
182124|435743
435743|431347
435743|431344
